pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0698390375003 13.1627143351
0.333 0.138598217652 13.1627143351
0.5 0.207115445057 13.1627143351
0.667 0.274983866719 13.1627143351
0.833 0.341811972875 13.1627143351
1.0 0.408413877117 13.1627143351
1.17 0.475573565424 13.1627143351
1.33 0.538202220786 13.1627143351
1.5 0.604136966046 13.1627143351
1.67 0.669453717114 13.1627143351
1.83 0.730371518987 13.1627143351
2.0 0.794513177555 13.1627143351
2.17 0.858061822041 13.1627143351
2.33 0.91733792902 13.1627143351
2.5 0.979758662841 13.1627143351
2.67 1.04161003432 13.1627143351
2.83 1.0993099271 13.1627143351
3.0 1.16007807726 13.1627143351
3.17 1.22029927559 13.1627143351
3.33 1.27648499825 13.1627143351
3.5 1.33566533456 13.1627143351
3.67 1.39431996868 13.1627143351
3.83 1.44905035122 13.1627143351
4.0 1.50670430247 13.1627143351
6.0 2.14873766136 13.1627143351
8.57 2.88642456735 13.1627143351
11.1 3.53159642794 13.1627143351
13.7 4.12420595875 13.1627143351
16.3 4.65627993699 13.1627143351
18.8 5.11903262525 13.1627143351
21.4 5.5564701375 13.1627143351
24.0 5.95509406027 13.1627143351
26.5 6.30639567828 13.1627143351
29.1 6.64250047512 13.1627143351
31.7 6.95224614695 13.1627143351
34.2 7.22800247581 13.1627143351
36.8 7.49430577076 13.1627143351
39.3 7.73269653765 13.1627143351
41.9 7.96409561483 13.1627143351
44.5 8.1802836007 13.1627143351
47.0 8.37516541269 13.1627143351
49.6 8.56556707814 13.1627143351
52.2 8.74456286497 13.1627143351
54.7 8.90684533532 13.1627143351
57.3 9.06625350849 13.1627143351
59.9 9.2168904902 13.1627143351
62.4 9.35411867385 13.1627143351
65.0 9.48952854636 13.1627143351
67.5 9.61322695914 13.1627143351
70.0 9.73101273528 13.1627143351
72.5 9.84329990518 13.1627143351
75.0 9.9504647245 13.1627143351
77.5 10.0528498861 13.1627143351
80.0 10.150768181 13.1627143351
85.0 10.3343245737 13.1627143351
90.0 10.503149919 13.1627143351
95.0 10.6589491319 13.1627143351
100.0 10.8031738064 13.1627143351
105.0 10.9370675794 13.1627143351
110.0 11.0617020832 13.1627143351
120.0 11.2867866711 13.1627143351
130.0 11.484522828 13.1627143351
140.0 11.6596094593 13.1627143351
150.0 11.8157273175 13.1627143351
