pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.793677797953 23.45554072
0.333 1.53371906842 23.45554072
0.5 2.23347749987 23.45554072
0.667 2.89229142964 23.45554072
0.833 3.51003676844 23.45554072
1.0 4.09724727656 23.45554072
1.17 4.66257394807 23.45554072
1.33 5.16708711389 23.45554072
1.5 5.67608915147 23.45554072
1.67 6.15930433299 23.45554072
1.83 6.59225305609 23.45554072
2.0 7.03070186679 23.45554072
2.17 7.44847830116 23.45554072
2.33 7.82407648158 23.45554072
2.5 8.20568626 23.45554072
2.67 8.57047020573 23.45554072
2.83 8.89940232564 23.45554072
3.0 9.23455008559 23.45554072
3.17 9.55582042587 23.45554072
3.33 9.84627273665 23.45554072
3.5 10.1429549493 23.45554072
3.67 10.4280575888 23.45554072
3.83 10.6864077972 23.45554072
4.0 10.9508858626 23.45554072
6.0 13.4508674305 23.45554072
8.57 15.5847453055 23.45554072
11.1 17.0216811867 23.45554072
13.7 18.0941612251 23.45554072
16.3 18.9053205897 23.45554072
18.8 19.5184358429 23.45554072
21.4 20.0330872047 23.45554072
24.0 20.455587165 23.45554072
26.5 20.7961492346 23.45554072
29.1 21.0974258244 23.45554072
31.7 21.3560625886 23.45554072
34.2 21.5724307813 23.45554072
36.8 21.7700257848 23.45554072
39.3 21.938168267 23.45554072
41.9 22.0940376207 23.45554072
44.5 22.2335464367 23.45554072
47.0 22.3545436024 23.45554072
49.6 22.4686355064 23.45554072
52.2 22.5723628842 23.45554072
54.7 22.6635863031 23.45554072
57.3 22.7506973543 23.45554072
59.9 22.8308332114 23.45554072
62.4 22.9020600082 23.45554072
65.0 22.9707420953 23.45554072
