pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0643287991186 12.36163201
0.333 0.127682861989 12.36163201
0.5 0.190833663004 12.36163201
0.667 0.253405841674 12.36163201
0.833 0.315037730937 12.36163201
1.0 0.376479617828 12.36163201
1.17 0.438454896468 12.36163201
1.33 0.496265955077 12.36163201
1.5 0.557146565252 12.36163201
1.67 0.61747453891 12.36163201
1.83 0.673755688008 12.36163201
2.0 0.733032159524 12.36163201
2.17 0.791777644093 12.36163201
2.33 0.846588821011 12.36163201
2.5 0.904323729671 12.36163201
2.67 0.961548184728 12.36163201
2.83 1.0149462363 12.36163201
3.0 1.07119894504 12.36163201
3.17 1.1269606883 12.36163201
3.33 1.17899956754 12.36163201
3.5 1.23382642998 12.36163201
3.67 1.28818083556 12.36163201
3.83 1.33891178344 12.36163201
4.0 1.39236633225 12.36163201
6.0 1.98858478773 12.36163201
8.57 2.6757895323 12.36163201
11.1 3.2787111632 12.36163201
13.7 3.83408248246 12.36163201
16.3 4.33400808686 12.36163201
18.8 4.76979371594 12.36163201
21.4 5.18259147784 12.36163201
24.0 5.55948521799 12.36163201
26.5 5.89220965528 12.36163201
29.1 6.21104494413 12.36163201
31.7 6.50531291546 12.36163201
34.2 6.76764375971 12.36163201
36.8 7.02129874368 12.36163201
39.3 7.24863157072 12.36163201
41.9 7.4695365434 12.36163201
44.5 7.67613379572 12.36163201
47.0 7.86254712906 12.36163201
49.6 8.04483735295 12.36163201
52.2 8.21635413551 12.36163201
54.7 8.37197882035 12.36163201
57.3 8.52496104022 12.36163201
59.9 8.66962950742 12.36163201
62.4 8.80150839576 12.36163201
65.0 8.93172211602 12.36163201
67.5 9.05074527128 12.36163201
70.0 9.16414275526 12.36163201
72.5 9.2723042087 12.36163201
75.0 9.37558410169 12.36163201
77.5 9.47430561439 12.36163201
80.0 9.56876401507 12.36163201
85.0 9.74595032523 12.36163201
90.0 9.90905027585 12.36163201
95.0 10.0596794513 12.36163201
100.0 10.1992154751 12.36163201
105.0 10.3288402659 12.36163201
110.0 10.4495735976 12.36163201
120.0 10.6677903792 12.36163201
130.0 10.8596820031 12.36163201
140.0 11.0297411817 12.36163201
150.0 11.1814933381 12.36163201
