pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.794989571275 23.4555407226
0.333 1.53960249893 23.4555407226
0.5 2.2466757025 23.4555407226
0.667 2.91505087615 23.4555407226
0.833 3.54413160543 23.4555407226
1.0 4.14425560219 23.4555407226
1.17 4.7239940212 23.4555407226
1.33 5.24301653431 23.4555407226
1.5 5.76823946663 23.4555407226
1.67 6.26833105253 23.4555407226
1.83 6.71762797656 23.4555407226
2.0 7.17381968893 23.4555407226
2.17 7.60961811846 23.4555407226
2.33 8.0023516396 23.4555407226
2.5 8.40227876234 23.4555407226
2.67 8.78543062455 23.4555407226
2.83 9.13164699865 23.4555407226
3.0 9.48511161168 23.4555407226
3.17 9.82461129743 23.4555407226
3.33 10.1321111843 23.4555407226
3.5 10.4467639264 23.4555407226
3.67 10.7496677708 23.4555407226
3.83 11.0246003402 23.4555407226
4.0 11.3064998639 23.4555407226
6.0 13.9936435746 23.4555407226
8.57 16.3199307115 23.4555407226
11.1 17.903696222 23.4555407226
13.7 19.0949496684 23.4555407226
16.3 20.0012103127 23.4555407226
18.8 20.6892421976 23.4555407226
21.4 21.2688078048 23.4555407226
24.0 21.7459895311 23.4555407226
26.5 22.1315450746 23.4555407226
29.1 22.4733091385 23.4555407226
31.7 22.7672170113 23.4555407226
34.2 23.0134575825 23.4555407226
36.8 23.2386246475 23.4555407226
39.3 23.4304490359 23.4555407226
41.9 23.6084523359 23.4555407226
44.5 23.767919455 23.4555407226
47.0 23.9063396773 23.4555407226
49.6 24.0369566244 23.4555407226
52.2 24.1557890677 23.4555407226
54.7 24.2603606817 23.4555407226
57.3 24.3602741359 23.4555407226
59.9 24.4522355829 23.4555407226
62.4 24.5340121534 23.4555407226
65.0 24.6129017883 23.4555407226
