pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0644437223328 12.3616320111
0.333 0.128050138597 12.3616320111
0.5 0.191590379472 12.3616320111
0.667 0.254684659767 12.3616320111
0.833 0.316963794541 12.3616320111
1.0 0.379182725376 12.3616320111
1.17 0.442075528439 12.3616320111
1.33 0.500863919664 12.3616320111
1.5 0.56290088958 12.3616320111
1.67 0.624503776986 12.3616320111
1.83 0.682090499913 12.3616320111
2.0 0.742863660628 12.3616320111
2.17 0.803215913028 12.3616320111
2.33 0.859637438809 12.3616320111
2.5 0.91918501987 12.3616320111
2.67 0.97832433905 12.3616320111
2.83 1.03361567774 12.3616320111
3.0 1.0919743822 12.3616320111
3.17 1.14993696962 12.3616320111
3.33 1.20413174263 12.3616320111
3.5 1.26133682247 12.3616320111
3.67 1.31815745315 12.3616320111
3.83 1.3712879614 12.3616320111
4.0 1.42737328858 12.3616320111
6.0 2.06014484316 12.3616320111
8.57 2.80629211549 12.3616320111
11.1 3.47626140627 12.3616320111
13.7 4.10650331669 12.3616320111
16.3 4.68490723042 12.3616320111
18.8 5.19790668344 12.3616320111
21.4 5.69160024854 12.3616320111
24.0 6.14909577652 12.3616320111
26.5 6.55843890146 12.3616320111
29.1 6.95559585929 12.3616320111
31.7 7.32648487148 12.3616320111
34.2 7.66068834969 12.3616320111
36.8 7.98708711908 12.3616320111
39.3 8.28236809127 12.3616320111
41.9 8.57182745005 12.3616320111
44.5 8.84482247195 12.3616320111
47.0 9.0930639678 12.3616320111
49.6 9.33759383502 12.3616320111
52.2 9.5692954081 12.3616320111
54.7 9.78090435513 12.3616320111
57.3 9.99020850407 12.3616320111
59.9 10.1893238323 12.3616320111
62.4 10.371849113 12.3616320111
65.0 10.5530254396 12.3616320111
67.5 10.7194686156 12.3616320111
70.0 10.8787940388 12.3616320111
72.5 11.0314487249 12.3616320111
75.0 11.1778430254 12.3616320111
77.5 11.3183543109 12.3616320111
80.0 11.4533302195 12.3616320111
85.0 11.707934698 12.3616320111
90.0 11.9439442061 12.3616320111
95.0 12.1633240925 12.3616320111
100.0 12.3677721682 12.3616320111
105.0 12.5587627317 12.3616320111
110.0 12.7375821788 12.3616320111
120.0 13.0630826453 12.3616320111
130.0 13.3517870068 12.3616320111
140.0 13.6096008718 12.3616320111
150.0 13.8412302604 12.3616320111
