pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.873426678553 24.43041286
0.333 1.69766036523 24.43041286
0.5 2.48591101053 24.43041286
0.667 3.23606216271 24.43041286
0.833 3.94663137568 24.43041286
1.0 4.62861658405 24.43041286
1.17 5.29129348334 24.43041286
1.33 5.8878120762 24.43041286
1.5 6.4946017799 24.43041286
1.67 7.07532009784 24.43041286
1.83 7.59953744467 24.43041286
2.0 8.13422080227 24.43041286
2.17 8.64729621018 24.43041286
2.33 9.11160314892 24.43041286
2.5 9.5863093921 24.43041286
2.67 10.0429076787 24.43041286
2.83 10.4570172763 24.43041286
3.0 10.8813002103 24.43041286
3.17 11.2902582859 24.43041286
3.33 11.6618919894 24.43041286
3.5 12.0433789738 24.43041286
3.67 12.4117818512 24.43041286
3.83 12.7471549768 24.43041286
4.0 13.0920091097 24.43041286
6.0 16.4300307062 24.43041286
8.57 19.3960859879 24.43041286
11.1 21.4573447487 24.43041286
13.7 23.0307460376 24.43041286
16.3 24.2412138919 24.43041286
18.8 25.1680970986 24.43041286
21.4 25.954211327 24.43041286
24.0 26.605161556 24.43041286
26.5 27.1335845146 24.43041286
29.1 27.603843306 24.43041286
31.7 28.0096545889 24.43041286
34.2 28.3506520614 24.43041286
36.8 28.6632700213 24.43041286
39.3 28.9302032091 24.43041286
41.9 29.1784053519 24.43041286
44.5 29.4011725448 24.43041286
47.0 29.5948542995 24.43041286
49.6 29.7778873919 24.43041286
52.2 29.9446350683 24.43041286
54.7 30.0915518831 24.43041286
57.3 30.2320821135 24.43041286
59.9 30.3615642388 24.43041286
62.4 30.4768161268 24.43041286
65.0 30.5880976802 24.43041286
