pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0614125727194 10.72436469
0.333 0.122043153835 10.72436469
0.5 0.182626464203 10.72436469
0.667 0.242800207906 10.72436469
0.833 0.302211828568 10.72436469
1.0 0.361581192322 10.72436469
1.17 0.421608986567 10.72436469
1.33 0.477733365337 10.72436469
1.5 0.536973813616 10.72436469
1.67 0.595814690948 10.72436469
1.83 0.650832943243 10.72436469
2.0 0.708909635996 10.72436469
2.17 0.766598454531 10.72436469
2.33 0.820542961146 10.72436469
2.5 0.87748985687 10.72436469
2.67 0.934060122987 10.72436469
2.83 0.986962013051 10.72436469
3.0 1.04281176176 10.72436469
3.17 1.098295695 10.72436469
3.33 1.15018490587 10.72436469
3.5 1.20496891152 10.72436469
3.67 1.25939750575 10.72436469
3.83 1.31030283952 10.72436469
4.0 1.36405131889 10.72436469
6.0 1.97131867035 10.72436469
8.57 2.68942996926 10.72436469
11.1 3.33611278184 10.72436469
13.7 3.94608589847 10.72436469
16.3 4.50729001503 10.72436469
18.8 5.00616133035 10.72436469
21.4 5.48726192222 10.72436469
24.0 5.93396910795 10.72436469
26.5 6.33438003778 10.72436469
29.1 6.72352295151 10.72436469
31.7 7.08750944896 10.72436469
34.2 7.41597528021 10.72436469
36.8 7.73721249752 10.72436469
39.3 8.02820114313 10.72436469
41.9 8.31380119954 10.72436469
44.5 8.58347306021 10.72436469
47.0 8.82895998789 10.72436469
49.6 9.07102576651 10.72436469
52.2 9.30062115312 10.72436469
54.7 9.51050120976 10.72436469
57.3 9.71827835394 10.72436469
59.9 9.9161102058 10.72436469
62.4 10.0976040554 10.72436469
65.0 10.2778940008 10.72436469
67.5 10.4436436788 10.72436469
70.0 10.6024137441 10.72436469
72.5 10.7546359666 10.72436469
75.0 10.9007072222 10.72436469
77.5 11.0409929483 10.72436469
80.0 11.1758301963 10.72436469
85.0 11.430381452 10.72436469
90.0 11.6665851441 10.72436469
95.0 11.8863559548 10.72436469
100.0 12.0913511099 10.72436469
105.0 12.2830122452 10.72436469
110.0 12.4625993597 10.72436469
120.0 12.7898448054 10.72436469
130.0 13.0804730101 10.72436469
140.0 13.3403042889 10.72436469
150.0 13.5739875045 10.72436469
