pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.875808672372 24.4304128589
0.333 1.70602269624 24.4304128589
0.5 2.50340552774 24.4304128589
0.667 3.26536577063 24.4304128589
0.833 3.98994245822 24.4304128589
1.0 4.68796811755 24.4304128589
1.17 5.36868095475 24.4304128589
1.33 5.98351056327 24.4304128589
1.5 6.61095443707 24.4304128589
1.67 7.21336397229 24.4304128589
1.83 7.75878600532 24.4304128589
2.0 8.31669177402 24.4304128589
2.17 8.85357140641 24.4304128589
2.33 9.34070859042 24.4304128589
2.5 9.84002719668 24.4304128589
2.67 10.3215158648 24.4304128589
2.83 10.7592352805 24.4304128589
3.0 11.2087333268 24.4304128589
3.17 11.642981276 24.4304128589
3.33 12.0384384688 24.4304128589
3.5 12.4452168901 24.4304128589
3.67 12.8388503945 24.4304128589
3.83 13.1978832565 24.4304128589
4.0 13.5677549235 24.4304128589
6.0 17.1844407388 24.4304128589
8.57 20.4546643248 24.4304128589
11.1 22.7593846329 24.4304128589
13.7 24.5366585738 24.4304128589
16.3 25.9147440509 24.4304128589
18.8 26.9763753412 24.4304128589
21.4 27.8811590684 24.4304128589
24.0 28.6334422526 24.4304128589
26.5 29.2461794279 24.4304128589
29.1 29.7930277734 24.4304128589
31.7 30.2661148117 24.4304128589
34.2 30.6644931745 24.4304128589
36.8 31.0304006082 24.4304128589
39.3 31.3433550648 24.4304128589
41.9 31.6347793248 24.4304128589
44.5 31.8966931477 24.4304128589
47.0 32.1246828783 24.4304128589
49.6 32.3403710339 24.4304128589
52.2 32.5370659751 24.4304128589
54.7 32.7105249265 24.4304128589
57.3 32.8765807815 24.4304128589
59.9 33.0297007469 24.4304128589
62.4 33.1660887372 24.4304128589
65.0 33.2978642376 24.4304128589
