pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0614547639985 10.7243646882
0.333 0.122261010679 10.7243646882
0.5 0.18315328689 10.7243646882
0.667 0.24376637775 10.7243646882
0.833 0.303741727995 10.7243646882
1.0 0.36380382098 10.7243646882
1.17 0.424663969443 10.7243646882
1.33 0.481686970588 10.7243646882
1.5 0.542002553569 10.7243646882
1.67 0.602040450775 10.7243646882
1.83 0.658294756158 10.7243646882
2.0 0.71779906225 10.7243646882
2.17 0.777031259878 10.7243646882
2.33 0.832532308928 10.7243646882
2.5 0.891241596896 10.7243646882
2.67 0.949684205343 10.7243646882
2.83 1.00444702677 10.7243646882
3.0 1.06237712381 10.7243646882
3.17 1.1200458268 10.7243646882
3.33 1.17408505216 10.7243646882
3.5 1.23125136812 10.7243646882
3.67 1.28816143676 10.7243646882
3.83 1.34149131348 10.7243646882
4.0 1.39790885453 10.7243646882
6.0 2.04322184929 10.7243646882
8.57 2.82551983577 10.7243646882
11.1 3.54848073518 10.7243646882
13.7 4.24706430541 10.7243646882
16.3 4.90459221977 10.7243646882
18.8 5.50138995573 10.7243646882
21.4 6.08823410032 10.7243646882
24.0 6.64335058568 10.7243646882
26.5 7.14953044596 10.7243646882
29.1 7.64944922139 10.7243646882
31.7 8.12434336008 10.7243646882
34.2 8.55908108439 10.7243646882
36.8 8.99005000092 10.7243646882
39.3 9.38548560691 10.7243646882
41.9 9.77835349549 10.7243646882
44.5 10.1537128122 10.7243646882
47.0 10.4991905852 10.7243646882
49.6 10.8434406384 10.7243646882
52.2 11.1732985889 10.7243646882
54.7 11.4777209304 10.7243646882
57.3 11.7818499235 10.7243646882
59.9 12.0740054006 10.7243646882
62.4 12.3442785818 10.7243646882
65.0 12.614912761 10.7243646882
67.5 12.8656366347 10.7243646882
70.0 13.107543425 10.7243646882
72.5 13.3410901946 10.7243646882
75.0 13.5667029512 10.7243646882
77.5 13.7847792416 10.7243646882
80.0 13.9956904894 10.7243646882
85.0 14.3973853991 10.7243646882
90.0 14.7743119594 10.7243646882
95.0 15.1286924671 10.7243646882
100.0 15.462491084 10.7243646882
105.0 15.7774502589 10.7243646882
110.0 16.0751211526 10.7243646882
120.0 16.6239956036 10.7243646882
130.0 17.1185746289 10.7243646882
140.0 17.5665349988 10.7243646882
150.0 17.9741714071 10.7243646882
