pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.71071216737 23.97727791
0.333 1.39034387552 23.97727791
0.5 2.04859328186 23.97727791
0.667 2.68269312132 23.97727791
0.833 3.29035377107 23.97727791
1.0 3.88010333253 23.97727791
1.17 4.4593877683 23.97727791
1.33 4.98617536028 23.97727791
1.5 5.52729940256 23.97727791
1.67 6.05021982858 23.97727791
1.83 6.52656115141 23.97727791
2.0 7.01667124517 23.97727791
2.17 7.49107105666 23.97727791
2.33 7.92388018823 23.97727791
2.5 8.36986450834 23.97727791
2.67 8.80219653708 23.97727791
2.83 9.19717942105 23.97727791
3.0 9.60473961098 23.97727791
3.17 10.0003611752 23.97727791
3.33 10.3622684231 23.97727791
3.5 10.7361645007 23.97727791
3.67 11.0995603974 23.97727791
3.83 11.4323791692 23.97727791
4.0 11.7766161845 23.97727791
6.0 15.2177339178 23.97727791
8.57 18.4513590149 23.97727791
11.1 20.8036734781 23.97727791
13.7 22.6608644985 23.97727791
16.3 24.1276512104 23.97727791
18.8 25.2739366174 23.97727791
21.4 26.2623023621 23.97727791
24.0 27.0922219705 23.97727791
26.5 27.7737316423 23.97727791
29.1 28.3862037365 23.97727791
31.7 28.9193260381 23.97727791
34.2 29.3706270392 23.97727791
36.8 29.7870653055 23.97727791
39.3 30.144707459 23.97727791
41.9 30.4789705407 23.97727791
44.5 30.780398909 23.97727791
47.0 31.043570081 23.97727791
49.6 31.2932168525 23.97727791
52.2 31.5214548257 23.97727791
54.7 31.7231871614 23.97727791
57.3 31.9167119616 23.97727791
59.9 32.0955107658 23.97727791
62.4 32.2550549378 23.97727791
65.0 32.409457756 23.97727791
