pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0635879032983 11.09371264
0.333 0.126389165364 11.09371264
0.5 0.189164352162 11.09371264
0.667 0.251537814171 11.09371264
0.833 0.313143460632 11.09371264
1.0 0.374727304501 11.09371264
1.17 0.437016524855 11.09371264
1.33 0.495275649111 11.09371264
1.5 0.556790734931 11.09371264
1.67 0.617912643968 11.09371264
1.83 0.675083347431 11.09371264
2.0 0.735452714639 11.09371264
2.17 0.795439820982 11.09371264
2.33 0.851552322658 11.09371264
2.5 0.910807684244 11.09371264
2.67 0.969691300509 11.09371264
2.83 1.024774711 11.09371264
3.0 1.08294662026 11.09371264
3.17 1.14075691755 11.09371264
3.33 1.19483928941 11.09371264
3.5 1.25195719247 11.09371264
3.67 1.30872325195 11.09371264
3.83 1.36183162731 11.09371264
4.0 1.41792391284 11.09371264
6.0 2.05293967596 11.09371264
8.57 2.80688178109 11.09371264
11.1 3.48864634677 11.09371264
13.7 4.13416921812 11.09371264
16.3 4.73020137698 11.09371264
18.8 5.26174732411 11.09371264
21.4 5.7758946932 11.09371264
24.0 6.25464241719 11.09371264
26.5 6.6848877152 11.09371264
29.1 7.10403876852 11.09371264
31.7 7.49700082252 11.09371264
34.2 7.85236985778 11.09371264
36.8 8.20061346236 11.09371264
39.3 8.51666067371 11.09371264
41.9 8.82740692854 11.09371264
44.5 9.12132551701 11.09371264
47.0 9.38931048391 11.09371264
49.6 9.65395908643 11.09371264
52.2 9.90534020581 11.09371264
54.7 10.1354479096 11.09371264
57.3 10.3635447716 11.09371264
59.9 10.5809967942 11.09371264
62.4 10.7807251798 11.09371264
65.0 10.9793514563 11.09371264
67.5 11.1621548469 11.09371264
70.0 11.337437026 11.09371264
72.5 11.505652813 11.09371264
75.0 11.6672210805 11.09371264
77.5 11.8225282366 11.09371264
80.0 11.9719313104 11.09371264
85.0 12.2543225717 11.09371264
90.0 12.5167604111 11.09371264
95.0 12.7612874893 11.09371264
100.0 12.9896768538 11.09371264
105.0 13.2034750009 11.09371264
110.0 13.4040369404 11.09371264
120.0 13.7700822586 11.09371264
130.0 14.0957976107 11.09371264
140.0 14.3875001747 11.09371264
150.0 14.6502532553 11.09371264
