pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.716126311104 23.9938064703
0.333 1.40400697879 23.9938064703
0.5 2.07312747004 23.9938064703
0.667 2.7203981482 23.9938064703
0.833 3.34318063208 23.9938064703
1.0 3.9499600466 23.9938064703
1.17 4.54824239281 23.9938064703
1.33 5.09427037114 23.9938064703
1.5 5.65711689586 23.9938064703
1.67 6.20292461174 23.9938064703
1.83 6.70174431934 23.9938064703
2.0 7.21661230612 23.9938064703
2.17 7.71655822532 23.9938064703
2.33 8.17403749002 23.9938064703
2.5 8.64681016237 23.9938064703
2.67 9.10644090964 23.9938064703
2.83 9.52751388981 23.9938064703
3.0 9.96315046458 23.9938064703
3.17 10.3871529924 23.9938064703
3.33 10.7759987561 23.9938064703
3.5 11.1787089747 23.9938064703
3.67 11.5710708854 23.9938064703
3.83 11.9312525159 23.9938064703
4.0 12.30463306 23.9938064703
6.0 16.0847878302 23.9938064703
8.57 19.7179519389 23.9938064703
11.1 22.4117223735 23.9938064703
13.7 24.5695081303 23.9938064703
16.3 26.2934220443 23.9938064703
18.8 27.6529559834 23.9938064703
21.4 28.8339685876 23.9938064703
24.0 29.8319946206 23.9938064703
26.5 30.6559170412 23.9938064703
29.1 31.3997612163 23.9938064703
31.7 32.0498616033 23.9938064703
34.2 32.6021085351 23.9938064703
36.8 33.1132650989 23.9938064703
39.3 33.5534607936 23.9938064703
41.9 33.9658943316 23.9938064703
44.5 34.3386570745 23.9938064703
47.0 34.6647643761 23.9938064703
49.6 34.9746794013 23.9938064703
52.2 35.2585010903 23.9938064703
54.7 35.5097478313 23.9938064703
57.3 35.751113437 23.9938064703
59.9 35.9744099696 23.9938064703
62.4 36.1739014952 23.9938064703
65.0 36.3671816313 23.9938064703
