pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0636195621511 11.0937126432
0.333 0.12659100934 11.0937126432
0.5 0.189674734975 11.0937126432
0.667 0.252492282987 11.0937126432
0.833 0.314671549196 11.0937126432
1.0 0.376963340125 11.0937126432
1.17 0.440105888948 11.0937126432
1.33 0.499288477366 11.0937126432
1.5 0.561910560677 11.0937126432
1.67 0.624267033131 11.0937126432
1.83 0.682714354064 11.0937126432
2.0 0.744560030048 11.0937126432
2.17 0.806145014357 11.0937126432
2.33 0.863870685305 11.0937126432
2.5 0.924954304157 11.0937126432
2.67 0.985782029791 11.0937126432
2.83 1.04279933405 11.0937126432
3.0 1.10313489449 11.0937126432
3.17 1.16321924312 11.0937126432
3.33 1.21954113996 11.0937126432
3.5 1.27914229993 11.0937126432
3.67 1.338496816 11.0937126432
3.83 1.39413595051 11.0937126432
4.0 1.45301603747 11.0937126432
6.0 2.12793190871 11.0937126432
8.57 2.94967404585 11.0937126432
11.1 3.71257627689 11.0937126432
13.7 4.45295973652 11.0937126432
16.3 5.15272738979 11.0937126432
18.8 5.79030971264 11.0937126432
21.4 6.41954090305 11.0937126432
24.0 7.01684717269 11.0937126432
26.5 7.56328143731 11.0937126432
29.1 8.10463494681 11.0937126432
31.7 8.62044145026 11.0937126432
34.2 9.09396338399 11.0937126432
36.8 9.56464157633 11.0937126432
39.3 9.99762152422 11.0937126432
41.9 10.4288450371 11.0937126432
44.5 10.8418365594 11.0937126432
47.0 11.2228051497 11.0937126432
49.6 11.6032372555 11.0937126432
52.2 11.9685324812 11.0937126432
54.7 12.3063283492 11.0937126432
57.3 12.6444416914 11.0937126432
59.9 12.9698504841 11.0937126432
62.4 13.271417352 11.0937126432
65.0 13.5738997435 11.0937126432
67.5 13.8545877635 11.0937126432
70.0 14.1258244059 11.0937126432
72.5 14.3880791395 11.0937126432
75.0 14.6417908468 11.0937126432
77.5 14.8873702751 11.0937126432
80.0 15.1252022557 11.0937126432
85.0 15.5790455058 11.0937126432
90.0 16.0059529253 11.0937126432
95.0 16.4082533873 11.0937126432
100.0 16.7880148132 11.0937126432
105.0 17.1470797258 11.0937126432
110.0 17.4870951454 11.0937126432
120.0 18.1157358132 11.0937126432
130.0 18.6840724802 11.0937126432
140.0 19.2003852306 11.0937126432
150.0 19.6715046208 11.0937126432
