pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 2.38209140802 30.85804604
0.333 4.39223433515 30.85804604
0.5 6.13051737611 30.85804604
0.667 7.64008070132 30.85804604
0.833 8.95584250874 30.85804604
1.0 10.1260217907 30.85804604
1.17 11.1852330376 30.85804604
1.33 12.0793775198 30.85804604
1.5 12.9364156968 30.85804604
1.67 13.7111724613 30.85804604
1.83 14.3753450098 30.85804604
2.0 15.0208758549 30.85804604
2.17 15.6120989255 30.85804604
2.33 16.1248382399 30.85804604
2.5 16.6284977083 30.85804604
2.67 17.0944499735 30.85804604
2.83 17.5022112386 30.85804604
3.0 17.9061085809 30.85804604
3.17 18.2827665509 30.85804604
3.33 18.6147770904 30.85804604
3.5 18.945865954 30.85804604
3.67 19.2566404887 30.85804604
3.83 19.5322045393 30.85804604
4.0 19.8085354163 30.85804604
6.0 22.1632616566 30.85804604
8.57 23.8647426818 30.85804604
11.1 24.8811787248 30.85804604
13.7 25.5816078881 30.85804604
16.3 26.0815996725 30.85804604
18.8 26.4437487906 30.85804604
21.4 26.737843187 30.85804604
24.0 26.9728263747 30.85804604
26.5 27.1581561763 30.85804604
29.1 27.3191605771 30.85804604
31.7 27.455226417 30.85804604
34.2 27.5675610431 30.85804604
36.8 27.6689817363 30.85804604
39.3 27.7544216158 30.85804604
41.9 27.8329259164 30.85804604
44.5 27.9026268988 30.85804604
47.0 27.9626531522 30.85804604
49.6 28.0188949016 30.85804604
52.2 28.0697279323 30.85804604
54.7 28.1141994277 30.85804604
57.3 28.1564634527 30.85804604
59.9 28.1951696361 30.85804604
62.4 28.2294338764 30.85804604
65.0 28.2623509702 30.85804604
