pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0816414242112 12.906381703
0.333 0.16205754821 12.906381703
0.5 0.242227289946 12.906381703
0.667 0.321673917905 12.906381703
0.833 0.399937819102 12.906381703
1.0 0.477971450386 12.906381703
1.17 0.556693645812 12.906381703
1.33 0.630136452339 12.906381703
1.5 0.707489322264 12.906381703
1.67 0.784150682813 12.906381703
1.83 0.855679131116 12.906381703
2.0 0.931024356387 12.906381703
2.17 1.0057047601 12.906381703
2.33 1.07539273572 12.906381703
2.5 1.1488074748 12.906381703
2.67 1.22158272432 12.906381703
2.83 1.28950035893 12.906381703
3.0 1.36105786652 12.906381703
3.17 1.43199994572 12.906381703
3.33 1.49821385257 12.906381703
3.5 1.56798372336 12.906381703
3.67 1.63716103483 12.906381703
3.83 1.70173452661 12.906381703
4.0 1.76978292109 12.906381703
6.0 2.52934366699 12.906381703
8.57 3.40610895073 12.906381703
11.1 4.17648353522 12.906381703
13.7 4.887047258 12.906381703
16.3 5.52744878568 12.906381703
18.8 6.08628916872 12.906381703
21.4 6.61616823789 12.906381703
24.0 7.10040039784 12.906381703
26.5 7.52823386226 12.906381703
29.1 7.93851621762 12.906381703
31.7 8.31745294721 12.906381703
34.2 8.65548049264 12.906381703
36.8 8.98252351275 12.906381703
39.3 9.27579166641 12.906381703
41.9 9.56091525338 12.906381703
44.5 9.82770353294 12.906381703
47.0 10.0685367932 12.906381703
49.6 10.3041436893 12.906381703
52.2 10.525916819 12.906381703
54.7 10.7272174395 12.906381703
57.3 10.9251706871 12.906381703
59.9 11.1124307297 12.906381703
62.4 11.2831904756 12.906381703
65.0 11.4518452772 12.906381703
67.5 11.6060503706 12.906381703
70.0 11.7530064436 12.906381703
72.5 11.8932129109 12.906381703
75.0 12.0271243416 12.906381703
77.5 12.1551553822 12.906381703
80.0 12.2776850453 12.906381703
85.0 12.5076001402 12.906381703
90.0 12.7193203821 12.906381703
95.0 12.9149233985 12.906381703
100.0 13.0961820963 12.906381703
105.0 13.2646185514 12.906381703
110.0 13.4215468529 12.906381703
120.0 13.7052949407 12.906381703
130.0 13.9549310467 12.906381703
140.0 14.1762577549 12.906381703
150.0 14.3738322105 12.906381703
