pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0687329302924 12.35521564
0.333 0.136260734324 12.35521564
0.5 0.20341084232 12.35521564
0.667 0.269787668961 12.35521564
0.833 0.335013815984 12.35521564
1.0 0.399888055245 12.35521564
1.17 0.465173456136 12.35521564
1.33 0.525935053289 12.35521564
1.5 0.589780215929 12.35521564
1.67 0.652901965229 12.35521564
1.83 0.711660789107 12.35521564
2.0 0.773412921082 12.35521564
2.17 0.834476823193 12.35521564
2.33 0.891330287047 12.35521564
2.5 0.951090650032 12.35521564
2.67 1.01019572157 12.35521564
2.83 1.06523502209 12.35521564
3.0 1.12309844944 12.35521564
3.17 1.18033745494 12.35521564
3.33 1.23364806037 12.35521564
3.5 1.28970345926 12.35521564
3.67 1.34516339699 12.35521564
3.83 1.39682548991 12.35521564
4.0 1.4511562971 12.35521564
6.0 2.0499473656 12.35521564
8.57 2.72411697786 12.35521564
11.1 3.30196655909 12.35521564
13.7 3.82333464522 12.35521564
16.3 4.28396560326 12.35521564
18.8 4.67895859595 12.35521564
21.4 5.04762876034 12.35521564
24.0 5.37966919114 12.35521564
26.5 5.66924575197 12.35521564
29.1 5.94366445732 12.35521564
31.7 6.19431480576 12.35521564
34.2 6.41566993257 12.35521564
36.8 6.62785463475 12.35521564
39.3 6.81649444831 12.35521564
41.9 6.99843454619 12.35521564
44.5 7.16738549757 12.35521564
47.0 7.31884093538 12.35521564
49.6 7.46604727591 12.35521564
52.2 7.60374898626 12.35521564
54.7 7.72802232835 12.35521564
57.3 7.84956961608 12.35521564
59.9 7.96395384327 12.35521564
62.4 8.06775681542 12.35521564
65.0 8.16981315407 12.35521564
67.5 8.26272215966 12.35521564
70.0 8.35090714744 12.35521564
72.5 8.43471947839 12.35521564
75.0 8.51447651197 12.35521564
77.5 8.5904656219 12.35521564
80.0 8.66294765597 12.35521564
85.0 8.79831881135 12.35521564
90.0 8.9222504907 12.35521564
95.0 9.03613394198 12.35521564
100.0 9.14114360122 12.35521564
105.0 9.23827774371 12.35521564
110.0 9.32839031944 12.35521564
120.0 9.4903908876 12.35521564
130.0 9.63192868052 12.35521564
140.0 9.75665045326 12.35521564
150.0 9.86738501326 12.35521564
