pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.766047485169 22.1380600352
0.333 1.47020667041 22.1380600352
0.5 2.12723802433 22.1380600352
0.667 2.73815851501 22.1380600352
0.833 3.30436248043 22.1380600352
1.0 3.83672747294 22.1380600352
1.17 4.34394957836 22.1380600352
1.33 4.79228070216 22.1380600352
1.5 5.24052237998 22.1380600352
1.67 5.66231521581 22.1380600352
1.83 6.03717570282 22.1380600352
2.0 6.41389040657 22.1380600352
2.17 6.77015158907 22.1380600352
2.33 7.08822671361 22.1380600352
2.5 7.40926366806 22.1380600352
2.67 7.71415892506 22.1380600352
2.83 7.98743889529 22.1380600352
3.0 8.26428832002 22.1380600352
3.17 8.52817618153 22.1380600352
3.33 8.76549854119 22.1380600352
3.5 9.00669339046 22.1380600352
3.67 9.23732335005 22.1380600352
3.83 9.44534498278 22.1380600352
4.0 9.65735459121 22.1380600352
6.0 11.6152792303 22.1380600352
8.57 13.2231663342 22.1380600352
11.1 14.2746617739 22.1380600352
13.7 15.0436846057 22.1380600352
16.3 15.6166065405 22.1380600352
18.8 16.0447644329 22.1380600352
21.4 16.4009643721 22.1380600352
24.0 16.6912298868 22.1380600352
26.5 16.9238024961 22.1380600352
29.1 17.1285136455 22.1380600352
31.7 17.3034836924 22.1380600352
34.2 17.4493167562 22.1380600352
36.8 17.5820675662 22.1380600352
39.3 17.6947101027 22.1380600352
41.9 17.7988679494 22.1380600352
44.5 17.8918795345 22.1380600352
47.0 17.9723864596 22.1380600352
49.6 18.0481607535 22.1380600352
52.2 18.1169353798 22.1380600352
54.7 18.1773283448 22.1380600352
57.3 18.2349193534 22.1380600352
59.9 18.2878305184 22.1380600352
62.4 18.3348044003 22.1380600352
65.0 18.3800511914 22.1380600352
