pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.706905644573 24.16727967
0.333 1.33899993004 24.16727967
0.5 1.91409331282 24.16727967
0.667 2.43655191626 24.16727967
0.833 2.91055505526 24.16727967
1.0 3.34753891886 24.16727967
1.17 3.75627032639 24.16727967
1.33 4.11152046188 24.16727967
1.5 4.46118464856 24.16727967
1.67 4.78529474491 24.16727967
1.83 5.06942140465 24.16727967
2.0 5.3513108988 24.16727967
2.17 5.61459859513 24.16727967
2.33 5.84700549596 24.16727967
2.5 6.07907410997 24.16727967
2.67 6.2971832668 24.16727967
2.83 6.49080755231 24.16727967
3.0 6.68518499799 24.16727967
3.17 6.86882042699 24.16727967
3.33 7.03261826716 24.16727967
3.5 7.19779374134 24.16727967
3.67 7.35452709978 24.16727967
3.83 7.4948950407 24.16727967
4.0 7.63698724565 24.16727967
6.0 8.9048079969 24.16727967
8.57 9.88947988476 24.16727967
11.1 10.5077713667 24.16727967
13.7 10.9477776327 24.16727967
16.3 11.2691242923 24.16727967
18.8 11.5057668052 24.16727967
21.4 11.7003970686 24.16727967
24.0 11.8575184245 24.16727967
26.5 11.9824623804 24.16727967
29.1 12.0917477726 24.16727967
31.7 12.1846477551 24.16727967
34.2 12.2617224077 24.16727967
36.8 12.3316040255 24.16727967
39.3 12.3906931137 24.16727967
41.9 12.4451628705 24.16727967
44.5 12.4936674022 24.16727967
47.0 12.5355475171 24.16727967
49.6 12.5748783724 24.16727967
52.2 12.6105029601 24.16727967
54.7 12.6417287572 24.16727967
57.3 12.6714561532 24.16727967
59.9 12.6987252676 24.16727967
62.4 12.7229003145 24.16727967
65.0 12.7461562193 24.16727967
