pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0537419062678 13.64882505
0.333 0.106446104975 13.64882505
0.5 0.158761981905 13.64882505
0.667 0.210383978545 13.64882505
0.833 0.261022765389 13.64882505
1.0 0.31130173752 13.64882505
1.17 0.361812396808 13.64882505
1.33 0.408744844004 13.64882505
1.5 0.457978030293 13.64882505
1.67 0.506571954013 13.64882505
1.83 0.55173453146 13.64882505
2.0 0.599122562815 13.64882505
2.17 0.6459068187 13.64882505
2.33 0.689397786443 13.64882505
2.5 0.735042481029 13.64882505
2.67 0.780116308451 13.64882505
2.83 0.822026785238 13.64882505
3.0 0.866022605414 13.64882505
3.17 0.909478117994 13.64882505
3.33 0.949892718451 13.64882505
3.5 0.992327423241 13.64882505
3.67 1.03425023713 13.64882505
3.83 1.07324764191 13.64882505
4.0 1.11420287123 13.64882505
6.0 1.56176553737 13.64882505
8.57 2.0574437749 13.64882505
11.1 2.47553234087 13.64882505
13.7 2.84751177052 13.64882505
16.3 3.17209983108 13.64882505
18.8 3.44745621566 13.64882505
21.4 3.70201849968 13.64882505
24.0 3.92929611624 13.64882505
26.5 4.12598522395 13.64882505
29.1 4.31108403615 13.64882505
31.7 4.47906092972 13.64882505
34.2 4.62654790319 13.64882505
36.8 4.76717618783 13.64882505
39.3 4.89158920148 13.64882505
41.9 5.0110429738 13.64882505
44.5 5.1214964288 13.64882505
47.0 5.22012781586 13.64882505
49.6 5.31564598514 13.64882505
52.2 5.40468963801 13.64882505
54.7 5.48479626193 13.64882505
57.3 5.56291392261 13.64882505
59.9 5.63621951927 13.64882505
62.4 5.70256969661 13.64882505
65.0 5.76764247118 13.64882505
67.5 5.82674447054 13.64882505
70.0 5.88271988626 13.64882505
72.5 5.93581042636 13.64882505
75.0 5.98623351035 13.64882505
77.5 6.03418524528 13.64882505
80.0 6.07984297473 13.64882505
85.0 6.16490482405 13.64882505
90.0 6.24253868358 13.64882505
95.0 6.31367681759 13.64882505
100.0 6.37910174745 13.64882505
105.0 6.43947515606 13.64882505
110.0 6.49536034603 13.64882505
120.0 6.59552949289 13.64882505
130.0 6.68273304402 13.64882505
140.0 6.75933532583 13.64882505
150.0 6.82715874631 13.64882505
