pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.703326960873 24.1572216342
0.333 1.33517903309 24.1572216342
0.5 1.91249450067 24.1572216342
0.667 2.43900151169 24.1572216342
0.833 2.91835871292 24.1572216342
1.0 3.36170256344 24.1572216342
1.17 3.77762510918 24.1572216342
1.33 4.14010503196 24.1572216342
1.5 4.49777848219 24.1572216342
1.67 4.83010671724 24.1572216342
1.83 5.12206834646 24.1572216342
2.0 5.41231521901 24.1572216342
2.17 5.68393581686 24.1572216342
2.33 5.92412241919 24.1572216342
2.5 6.16435730919 24.1572216342
2.67 6.39050485864 24.1572216342
2.83 6.59156083216 24.1572216342
3.0 6.79367920469 24.1572216342
3.17 6.98488631743 24.1572216342
3.33 7.15565026925 24.1572216342
3.5 7.32805359856 24.1572216342
3.67 7.49183435697 24.1572216342
3.83 7.63867028656 24.1572216342
4.0 7.78746073473 24.1572216342
6.0 9.1218005935 24.1572216342
8.57 10.1665884866 24.1572216342
11.1 10.8264443409 24.1572216342
13.7 11.2978363208 24.1572216342
16.3 11.6430585869 24.1572216342
18.8 11.8978000058 24.1572216342
21.4 12.1076453522 24.1572216342
24.0 12.2772668845 24.1572216342
26.5 12.412289887 24.1572216342
29.1 12.5304921482 24.1572216342
31.7 12.6310462549 24.1572216342
34.2 12.7145229598 24.1572216342
36.8 12.7902497905 24.1572216342
39.3 12.8543115331 24.1572216342
41.9 12.9133897141 24.1572216342
44.5 12.9660177844 24.1572216342
47.0 13.0114732895 24.1572216342
49.6 13.0541745766 24.1572216342
52.2 13.0928625924 24.1572216342
54.7 13.1267818484 24.1572216342
57.3 13.1590806552 24.1572216342
59.9 13.1887147174 24.1572216342
62.4 13.21499132 24.1572216342
65.0 13.2402732657 24.1572216342
