pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0538538057001 13.6488250455
0.333 0.106782571076 13.6488250455
0.5 0.159434180017 13.6488250455
0.667 0.211497985433 13.6488250455
0.833 0.262677179088 13.6488250455
1.0 0.313597903277 13.6488250455
1.17 0.364859135622 13.6488250455
1.33 0.412584371767 13.6488250455
1.5 0.462748260691 13.6488250455
1.67 0.512360551212 13.6488250455
1.83 0.558558695498 13.6488250455
2.0 0.607125889634 13.6488250455
2.17 0.655167540788 13.6488250455
2.33 0.69991073257 13.6488250455
2.5 0.746956269486 13.6488250455
2.67 0.793500703321 13.6488250455
2.83 0.836856608685 13.6488250455
3.0 0.882450896639 13.6488250455
3.17 0.92756702919 13.6488250455
3.33 0.969599182385 13.6488250455
3.5 1.01380835189 13.6488250455
3.67 1.05756093363 13.6488250455
3.83 1.09832904769 13.6488250455
4.0 1.14121527154 13.6488250455
6.0 1.61469970012 13.6488250455
8.57 2.14960858444 13.6488250455
11.1 2.60963591819 13.6488250455
13.7 3.02592552224 13.6488250455
16.3 3.39469196219 13.6488250455
18.8 3.71164025041 13.6488250455
21.4 4.0080764269 13.6488250455
24.0 4.27556514063 13.6488250455
26.5 4.50923738352 13.6488250455
29.1 4.73101596707 13.6488250455
31.7 4.93387349475 13.6488250455
34.2 5.11325073906 13.6488250455
36.8 5.28539869647 13.6488250455
39.3 5.43861076593 13.6488250455
41.9 5.58652994624 13.6488250455
44.5 5.72401964762 13.6488250455
47.0 5.84737900763 13.6488250455
49.6 5.96737478975 13.6488250455
52.2 6.07970975044 13.6488250455
54.7 6.18116225603 13.6488250455
57.3 6.28045563813 13.6488250455
59.9 6.37395740564 13.6488250455
62.4 6.45886005372 13.6488250455
65.0 6.54238086555 13.6488250455
67.5 6.61845604738 13.6488250455
70.0 6.69069874733 13.6488250455
72.5 6.7593914564 13.6488250455
75.0 6.8247895683 13.6488250455
77.5 6.88712455237 13.6488250455
80.0 6.94660669095 13.6488250455
85.0 7.05776153408 13.6488250455
90.0 7.15959525883 13.6488250455
95.0 7.25323314619 13.6488250455
100.0 7.33962635318 13.6488250455
105.0 7.41958433801 13.6488250455
110.0 7.49380029966 13.6488250455
120.0 7.62731449602 13.6488250455
130.0 7.74406087562 13.6488250455
140.0 7.84701156779 13.6488250455
150.0 7.9384754672 13.6488250455
