pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.666518401504 19.3224500196
0.333 1.30205880448 19.3224500196
0.5 1.91590556804 19.3224500196
0.667 2.50565768805 19.3224500196
0.833 3.06937597006 19.3224500196
1.0 3.61513231672 19.3224500196
1.17 4.14991805534 19.3224500196
1.33 4.63513683303 19.3224500196
1.5 5.13247078124 19.3224500196
1.67 5.61202813541 19.3224500196
1.83 6.04797687061 19.3224500196
2.0 6.49564179099 19.3224500196
2.17 6.92810456728 19.3224500196
2.33 7.32192388031 19.3224500196
2.5 7.72700542497 19.3224500196
2.67 8.11898519798 19.3224500196
2.83 8.47649966764 19.3224500196
3.0 8.84479710259 19.3224500196
3.17 9.20172335359 19.3224500196
3.33 9.52773130991 19.3224500196
3.5 9.86403672815 19.3224500196
3.67 10.1904096932 19.3224500196
3.83 10.488899675 19.3224500196
4.0 10.7972075195 19.3224500196
6.0 13.8557388232 19.3224500196
8.57 16.6915746703 19.3224500196
11.1 18.7316336551 19.3224500196
13.7 20.3288801825 19.3224500196
16.3 21.5820942349 19.3224500196
18.8 22.5564367975 19.3224500196
21.4 23.3930248188 19.3224500196
24.0 24.0929933475 19.3224500196
26.5 24.6660888284 19.3224500196
29.1 25.179825456 19.3224500196
31.7 25.6260030158 19.3224500196
34.2 26.0029772153 19.3224500196
36.8 26.3502415146 19.3224500196
39.3 26.6480261768 19.3224500196
41.9 26.9259694764 19.3224500196
44.5 27.1763001294 19.3224500196
47.0 27.3946187454 19.3224500196
49.6 27.6015113544 19.3224500196
52.2 27.7904858566 19.3224500196
54.7 27.9573748702 19.3224500196
57.3 28.1173510166 19.3224500196
59.9 28.2650471273 19.3224500196
62.4 28.396751444 19.3224500196
65.0 28.524133885 19.3224500196
