pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.167 0.0891527173478 11.7035151368
0.333 0.177093814271 11.7035151368
0.5 0.264890622376 11.7035151368
0.667 0.352019056635 11.7035151368
0.833 0.437970901534 11.7035151368
1.0 0.523789172883 11.7035151368
1.17 0.610485674283 11.7035151368
1.33 0.691477782968 11.7035151368
1.5 0.776896696947 11.7035151368
1.67 0.86166845252 11.7035151368
1.83 0.940869021635 11.7035151368
2.0 1.02440534553 11.7035151368
2.17 1.10731574784 11.7035151368
2.33 1.1847835697 11.7035151368
2.5 1.26649886162 11.7035151368
2.67 1.34760854965 11.7035151368
2.83 1.42339987194 11.7035151368
3.0 1.50335303515 11.7035151368
3.17 1.58272004221 11.7035151368
3.33 1.65688870418 11.7035151368
3.5 1.73513612866 11.7035151368
3.67 1.81281602088 11.7035151368
3.83 1.88541358088 11.7035151368
4.0 1.96200927597 11.7035151368
6.0 2.82339585616 11.7035151368
8.57 3.83258048215 11.7035151368
11.1 4.73275968527 11.7035151368
13.7 5.57445106782 11.7035151368
16.3 6.34259133502 11.7035151368
18.8 7.02043894634 11.7035151368
21.4 7.66975150646 11.7035151368
24.0 8.26882476342 11.7035151368
26.5 8.80271220185 11.7035151368
29.1 9.31879233411 11.7035151368
31.7 9.79904641458 11.7035151368
34.2 10.2304043301 11.7035151368
36.8 10.650419981 11.7035151368
39.3 11.0293172912 11.7035151368
41.9 11.3997569853 11.7035151368
44.5 11.7482338976 11.7035151368
47.0 12.0643638673 11.7035151368
49.6 12.3750719064 11.7035151368
52.2 12.6688452936 11.7035151368
54.7 12.9366055194 11.7035151368
57.3 13.2009457717 11.7035151368
59.9 13.4519545207 11.7035151368
62.4 13.6816535146 11.7035151368
65.0 13.9092812599 11.7035151368
67.5 14.1180711437 11.7035151368
70.0 14.3176394176 11.7035151368
72.5 14.5085838167 11.7035151368
75.0 14.6914515097 11.7035151368
77.5 14.8667443346 11.7035151368
80.0 15.0349233982 11.7035151368
85.0 15.3516048392 11.7035151368
90.0 15.6445126199 11.7035151368
95.0 15.9162269661 11.7035151368
100.0 16.1689677545 11.7035151368
105.0 16.4046552968 11.7035151368
110.0 16.6249592225 11.7035151368
120.0 17.0250717286 11.7035151368
130.0 17.378983694 11.7035151368
140.0 17.6942604266 11.7035151368
150.0 17.9769009734 11.7035151368
