pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.000000e+00 0.000000 27.490000
3.030303e+04 1.660199 27.490000
6.060606e+04 3.033888 27.490000
9.090909e+04 4.189341 27.490000
1.212121e+05 5.174739 27.490000
1.515152e+05 6.025050 27.490000
1.818182e+05 6.766270 27.490000
2.121212e+05 7.418128 27.490000
2.424242e+05 7.995865 27.490000
2.727273e+05 8.511444 27.490000
3.030303e+05 8.974383 27.490000
3.333333e+05 9.392353 27.490000
3.636364e+05 9.771602 27.490000
3.939394e+05 10.117273 27.490000
4.242424e+05 10.433637 27.490000
4.545455e+05 10.724268 27.490000
4.848485e+05 10.992184 27.490000
5.151515e+05 11.239948 27.490000
5.454545e+05 11.469751 27.490000
5.757576e+05 11.683477 27.490000
6.060606e+05 11.882758 27.490000
6.363636e+05 12.069009 27.490000
6.666667e+05 12.243467 27.490000
6.969697e+05 12.407219 27.490000
7.272727e+05 12.561221 27.490000
7.575758e+05 12.706318 27.490000
7.878788e+05 12.843261 27.490000
8.181818e+05 12.972719 27.490000
8.484848e+05 13.095289 27.490000
8.787879e+05 13.211506 27.490000
9.090909e+05 13.321852 27.490000
9.393939e+05 13.426760 27.490000
9.696970e+05 13.526624 27.490000
1.000000e+06 13.621798 27.490000
1.030303e+06 13.712605 27.490000
1.060606e+06 13.799339 27.490000
1.090909e+06 13.882268 27.490000
1.121212e+06 13.961638 27.490000
1.151515e+06 14.037671 27.490000
1.181818e+06 14.110575 27.490000
1.212121e+06 14.180538 27.490000
1.242424e+06 14.247736 27.490000
1.272727e+06 14.312328 27.490000
1.303030e+06 14.374464 27.490000
1.333333e+06 14.434281 27.490000
1.363636e+06 14.491906 27.490000
1.393939e+06 14.547459 27.490000
1.424242e+06 14.601047 27.490000
1.454545e+06 14.652775 27.490000
1.484848e+06 14.702737 27.490000
1.515152e+06 14.751022 27.490000
1.545455e+06 14.797713 27.490000
1.575758e+06 14.842888 27.490000
1.606061e+06 14.886620 27.490000
1.636364e+06 14.928976 27.490000
1.666667e+06 14.970020 27.490000
1.696970e+06 15.009813 27.490000
1.727273e+06 15.048411 27.490000
1.757576e+06 15.085866 27.490000
1.787879e+06 15.122230 27.490000
1.818182e+06 15.157548 27.490000
1.848485e+06 15.191866 27.490000
1.878788e+06 15.225225 27.490000
1.909091e+06 15.257665 27.490000
1.939394e+06 15.289223 27.490000
1.969697e+06 15.319935 27.490000
2.000000e+06 15.349834 27.490000
2.030303e+06 15.378953 27.490000
2.060606e+06 15.407321 27.490000
2.090909e+06 15.434967 27.490000
2.121212e+06 15.461918 27.490000
2.151515e+06 15.488201 27.490000
2.181818e+06 15.513839 27.490000
2.212121e+06 15.538856 27.490000
2.242424e+06 15.563275 27.490000
2.272727e+06 15.587116 27.490000
2.303030e+06 15.610401 27.490000
2.333333e+06 15.633147 27.490000
2.363636e+06 15.655374 27.490000
2.393939e+06 15.677100 27.490000
2.424242e+06 15.698340 27.490000
2.454545e+06 15.719111 27.490000
2.484848e+06 15.739429 27.490000
2.515152e+06 15.759308 27.490000
2.545455e+06 15.778762 27.490000
2.575758e+06 15.797805 27.490000
2.606061e+06 15.816449 27.490000
2.636364e+06 15.834707 27.490000
2.666667e+06 15.852592 27.490000
2.696970e+06 15.870113 27.490000
2.727273e+06 15.887282 27.490000
2.757576e+06 15.904110 27.490000
2.787879e+06 15.920607 27.490000
2.818182e+06 15.936782 27.490000
2.848485e+06 15.952645 27.490000
2.878788e+06 15.968205 27.490000
2.909091e+06 15.983469 27.490000
2.939394e+06 15.998448 27.490000
2.969697e+06 16.013148 27.490000
3.000000e+06 16.027577 27.490000
