pressure(Pa) loading(mol/kg) HoA(kJ/mol)
0.000000e+00 0.000000 15.350000
3.030303e+04 0.078290 15.350000
6.060606e+04 0.154432 15.350000
9.090909e+04 0.228514 15.350000
1.212121e+05 0.300619 15.350000
1.515152e+05 0.370823 15.350000
1.818182e+05 0.439202 15.350000
2.121212e+05 0.505826 15.350000
2.424242e+05 0.570761 15.350000
2.727273e+05 0.634071 15.350000
3.030303e+05 0.695816 15.350000
3.333333e+05 0.756053 15.350000
3.636364e+05 0.814838 15.350000
3.939394e+05 0.872221 15.350000
4.242424e+05 0.928253 15.350000
4.545455e+05 0.982980 15.350000
4.848485e+05 1.036448 15.350000
5.151515e+05 1.088700 15.350000
5.454545e+05 1.139776 15.350000
5.757576e+05 1.189716 15.350000
6.060606e+05 1.238557 15.350000
6.363636e+05 1.286336 15.350000
6.666667e+05 1.333086 15.350000
6.969697e+05 1.378841 15.350000
7.272727e+05 1.423631 15.350000
7.575758e+05 1.467488 15.350000
7.878788e+05 1.510439 15.350000
8.181818e+05 1.552513 15.350000
8.484848e+05 1.593736 15.350000
8.787879e+05 1.634135 15.350000
9.090909e+05 1.673732 15.350000
9.393939e+05 1.712552 15.350000
9.696970e+05 1.750618 15.350000
1.000000e+06 1.787952 15.350000
1.030303e+06 1.824573 15.350000
1.060606e+06 1.860503 15.350000
1.090909e+06 1.895761 15.350000
1.121212e+06 1.930365 15.350000
1.151515e+06 1.964334 15.350000
1.181818e+06 1.997685 15.350000
1.212121e+06 2.030435 15.350000
1.242424e+06 2.062599 15.350000
1.272727e+06 2.094193 15.350000
1.303030e+06 2.125233 15.350000
1.333333e+06 2.155733 15.350000
1.363636e+06 2.185706 15.350000
1.393939e+06 2.215166 15.350000
1.424242e+06 2.244127 15.350000
1.454545e+06 2.272601 15.350000
1.484848e+06 2.300600 15.350000
1.515152e+06 2.328135 15.350000
1.545455e+06 2.355219 15.350000
1.575758e+06 2.381863 15.350000
1.606061e+06 2.408076 15.350000
1.636364e+06 2.433869 15.350000
1.666667e+06 2.459253 15.350000
1.696970e+06 2.484237 15.350000
1.727273e+06 2.508830 15.350000
1.757576e+06 2.533042 15.350000
1.787879e+06 2.556880 15.350000
1.818182e+06 2.580355 15.350000
1.848485e+06 2.603474 15.350000
1.878788e+06 2.626245 15.350000
1.909091e+06 2.648676 15.350000
1.939394e+06 2.670774 15.350000
1.969697e+06 2.692547 15.350000
2.000000e+06 2.714002 15.350000
2.030303e+06 2.735146 15.350000
2.060606e+06 2.755985 15.350000
2.090909e+06 2.776527 15.350000
2.121212e+06 2.796777 15.350000
2.151515e+06 2.816741 15.350000
2.181818e+06 2.836427 15.350000
2.212121e+06 2.855838 15.350000
2.242424e+06 2.874982 15.350000
2.272727e+06 2.893863 15.350000
2.303030e+06 2.912488 15.350000
2.333333e+06 2.930860 15.350000
2.363636e+06 2.948986 15.350000
2.393939e+06 2.966870 15.350000
2.424242e+06 2.984517 15.350000
2.454545e+06 3.001931 15.350000
2.484848e+06 3.019118 15.350000
2.515152e+06 3.036081 15.350000
2.545455e+06 3.052826 15.350000
2.575758e+06 3.069355 15.350000
2.606061e+06 3.085674 15.350000
2.636364e+06 3.101787 15.350000
2.666667e+06 3.117696 15.350000
2.696970e+06 3.133407 15.350000
2.727273e+06 3.148922 15.350000
2.757576e+06 3.164246 15.350000
2.787879e+06 3.179381 15.350000
2.818182e+06 3.194332 15.350000
2.848485e+06 3.209101 15.350000
2.878788e+06 3.223693 15.350000
2.909091e+06 3.238109 15.350000
2.939394e+06 3.252354 15.350000
2.969697e+06 3.266430 15.350000
3.000000e+06 3.280341 15.350000
