pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.4276506399 18.139
33300.0 0.8501471607 18.18046
50000.0 1.2821986253 18.07705
66700.0 1.71284138 18.13035
83300.0 2.1346341654 18.10002
100000.0 2.5200036833 18.14809
117000.0 2.9337171392 18.08277
133000.0 3.3706501493 18.13483
150000.0 3.8344490051 18.15575
167000.0 4.2858135485 18.25833
183000.0 4.7722384914 18.36379
200000.0 5.2767164797 18.45703
217000.0 5.7766412498 18.48435
233000.0 6.2803052341 18.45717
250000.0 6.8745008243 18.59512
267000.0 7.4417525137 18.7426
283000.0 7.9752410063 18.87511
300000.0 8.6098121811 19.05672
317000.0 9.2378552181 19.16084
333000.0 9.8414781381 19.39439
350000.0 10.4980608705 19.47716
367000.0 11.0928139976 19.70743
383000.0 11.8201828561 19.89655
400000.0 12.5581250926 20.09384
600000.0 20.4279841874 22.84426
857000.0 26.057595518 25.70397
1110000.0 28.6929027919 27.42393
1370000.0 30.2918740707 28.49171
1630000.0 31.3922276938 29.47093
1880000.0 32.2272965783 29.69158
2140000.0 32.8694254758 30.77342
2400000.0 33.4370017756 30.62174
2650000.0 33.8945438281 31.05771
2910000.0 34.3108752296 31.29812
3170000.0 34.6235121981 31.23378
3420000.0 34.8962431519 31.57037
3680000.0 35.0915619631 32.19192
3930000.0 35.3336643165 31.81327
4190000.0 35.6611838038 32.21109
4450000.0 35.8378858378 32.22021
4700000.0 36.0197147335 31.87901
4960000.0 36.1808862669 32.09667
5220000.0 36.366489068 32.45139
5470000.0 36.4806565223 32.4131
5730000.0 36.6886995649 32.35141
5990000.0 36.7949958368 32.83256
6240000.0 36.8793090476 31.95507
6500000.0 36.9707413853 32.59375
