pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0657769667 10.39557
33300.0 0.1285680134 10.30281
50000.0 0.1965131791 10.30348
66700.0 0.2534934522 10.31328
83300.0 0.3194686542 10.40732
100000.0 0.3870669081 10.23381
117000.0 0.4492384694 10.28772
133000.0 0.5116330454 10.42795
150000.0 0.5769887619 10.17303
167000.0 0.6416630444 10.30289
183000.0 0.6929564409 10.18714
200000.0 0.7481773753 10.14803
217000.0 0.815911916 10.18694
233000.0 0.8742426674 10.19461
250000.0 0.9499314014 10.22307
267000.0 0.9923661558 10.02268
283000.0 1.0634954769 10.1671
300000.0 1.1181588743 10.15514
317000.0 1.1738877867 10.14727
333000.0 1.2348327667 9.988
350000.0 1.2855686263 10.10256
367000.0 1.3474552242 9.98976
383000.0 1.398265422 10.18624
400000.0 1.4544899228 10.16168
600000.0 2.1328760656 10.06457
857000.0 2.8740780346 9.87076
1110000.0 3.6443586512 9.71149
1370000.0 4.34251877 9.91129
1630000.0 5.0616174976 9.9056
1880000.0 5.716624259 9.8531
2140000.0 6.3402726661 10.05985
2400000.0 6.9034840713 9.89817
2650000.0 7.5226474036 9.89702
2910000.0 8.0580934703 9.84175
3170000.0 8.5660096029 9.85661
3420000.0 9.0698866902 10.04547
3680000.0 9.5224703811 10.11217
3930000.0 9.9740381158 10.00786
4190000.0 10.3570783684 10.047
4450000.0 10.8593076245 10.09442
4700000.0 11.243970929 10.20357
4960000.0 11.680014358 10.05847
5220000.0 11.9535543598 10.17776
5470000.0 12.3823745882 10.20111
5730000.0 12.6909650777 10.17072
5990000.0 12.9836719598 10.34064
6240000.0 13.3893977701 10.20511
6500000.0 13.7480550748 10.31499
6750000.0 13.9736964605 10.49805
7000000.0 14.2958041228 10.30854
7250000.0 14.5083991446 10.46778
7500000.0 14.8347316978 10.49463
7750000.0 15.0885101133 10.4032
8000000.0 15.3009068998 10.40793
8500000.0 15.776448722 10.56126
9000000.0 16.2254393971 10.56406
9500000.0 16.6875136053 10.64229
10000000.0 17.0504453598 10.73057
10500000.0 17.4603960609 10.65768
11000000.0 17.810640753 10.77426
12000000.0 18.5191214997 10.75931
13000000.0 19.1543171159 10.89719
14000000.0 19.6525444958 10.97319
15000000.0 20.1252490746 10.93457
