pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.3904099081 18.60026
33300.0 0.7663093915 18.36326
50000.0 1.143371652 18.19918
66700.0 1.5057736186 18.08856
83300.0 1.8485778815 18.13526
100000.0 2.1987236606 17.91411
117000.0 2.5622542963 18.08749
133000.0 2.8691923116 17.87215
150000.0 3.2470721336 17.88648
167000.0 3.6501485603 17.90868
183000.0 3.9834717971 17.7725
200000.0 4.3752377617 17.99526
217000.0 4.7437254453 17.92824
233000.0 5.1165376263 17.95669
250000.0 5.4755225786 17.92522
267000.0 5.898103687 17.96813
283000.0 6.2483435219 17.99453
300000.0 6.6246078589 18.01491
317000.0 7.0474029183 17.8844
333000.0 7.379895157 18.1351
350000.0 7.8006912733 18.07601
367000.0 8.210455994 18.05612
383000.0 8.5845932241 18.17613
400000.0 8.9647314176 18.11565
600000.0 14.0075438072 18.90285
857000.0 20.7373121943 20.32765
1110000.0 26.008411322 22.04329
1370000.0 29.6427915911 23.66865
1630000.0 31.9588058708 25.07054
1880000.0 33.4756170866 26.02319
2140000.0 34.7049432896 26.67831
2400000.0 35.6263712819 27.14192
2650000.0 36.4260528932 27.69481
2910000.0 37.0375940674 28.02714
3170000.0 37.5553513246 28.42438
3420000.0 38.0629081842 28.35199
3680000.0 38.4443600575 28.77239
3930000.0 38.8739105935 29.24001
4190000.0 39.1875110632 29.43417
4450000.0 39.5140643532 29.19267
4700000.0 39.7638753875 30.05687
4960000.0 40.0434638516 29.47755
5220000.0 40.2589166311 29.4571
5470000.0 40.5572997076 29.75496
5730000.0 40.7447610829 30.63617
5990000.0 40.9069317977 30.0813
6240000.0 41.1565247467 30.46585
6500000.0 41.2910782131 30.46772
