pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0583765788 9.33221
33300.0 0.1158229359 9.39275
50000.0 0.1817963252 9.28229
66700.0 0.240276262 9.41258
83300.0 0.2955727734 9.37826
100000.0 0.3537943153 9.35138
117000.0 0.4099073547 9.35254
133000.0 0.4671883391 9.26846
150000.0 0.5334511307 9.35929
167000.0 0.5859673128 9.37951
183000.0 0.6382251001 9.29036
200000.0 0.697511229 9.24623
217000.0 0.7516294597 9.34477
233000.0 0.8101197322 9.33376
250000.0 0.8724032421 9.33993
267000.0 0.9222114456 9.25528
283000.0 0.9727741623 9.27228
300000.0 1.0378483373 9.27924
317000.0 1.1028604974 9.31508
333000.0 1.1508082576 9.35859
350000.0 1.2128747157 9.38803
367000.0 1.2523264511 9.30923
383000.0 1.3222067715 9.39061
400000.0 1.3602011595 9.31146
600000.0 1.9703955794 9.30484
857000.0 2.7168261334 9.19124
1110000.0 3.454491932 9.21471
1370000.0 4.1953411559 9.32298
1630000.0 4.8912296648 9.21491
1880000.0 5.5346019916 9.32586
2140000.0 6.1672457616 9.37345
2400000.0 6.7667116247 9.3345
2650000.0 7.3958515596 9.32942
2910000.0 7.8986260462 9.36774
3170000.0 8.4640974745 9.44886
3420000.0 8.9757400745 9.39246
3680000.0 9.445036916 9.40663
3930000.0 9.9105921993 9.45559
4190000.0 10.4264311326 9.55506
4450000.0 10.8866118017 9.50825
4700000.0 11.2587211484 9.65313
4960000.0 11.7380127053 9.57677
5220000.0 12.0974400297 9.69169
5470000.0 12.5069546241 9.71621
5730000.0 12.8908674505 9.73021
5990000.0 13.238760026 9.77491
6240000.0 13.5953760138 9.72734
6500000.0 13.9644983154 9.78081
6750000.0 14.2679573016 9.75008
7000000.0 14.5656075701 9.82817
7250000.0 14.8734282625 9.86501
7500000.0 15.1909542678 9.87089
7750000.0 15.4800775042 9.9059
8000000.0 15.7373768231 9.94973
8500000.0 16.3394679785 10.02193
9000000.0 16.8439478715 10.04562
9500000.0 17.2852243686 10.15478
10000000.0 17.7250951975 10.13904
10500000.0 18.2680552609 10.02232
11000000.0 18.6530946892 10.29673
12000000.0 19.4364447084 10.32786
13000000.0 20.2074434508 10.44085
14000000.0 20.8311260851 10.28374
15000000.0 21.473681884 10.48942
