pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.4287245625 19.04272
33300.0 0.836805056 18.64582
50000.0 1.2234102179 18.43382
66700.0 1.6095196498 18.27275
83300.0 1.9948053875 18.12984
100000.0 2.3390729267 18.09744
117000.0 2.6791072082 17.84673
133000.0 2.9909580341 17.91862
150000.0 3.3893320561 17.70734
167000.0 3.7161090257 17.76587
183000.0 4.0601141938 17.59871
200000.0 4.3928563231 17.8184
217000.0 4.7509248374 17.69542
233000.0 5.0755271538 17.70347
250000.0 5.4597583614 17.65719
267000.0 5.7915493952 17.46631
283000.0 6.1102092571 17.49459
300000.0 6.4509890259 17.61624
317000.0 6.7660324547 17.56907
333000.0 7.0409406647 17.37451
350000.0 7.4323101337 17.34038
367000.0 7.7605642025 17.34454
383000.0 8.0680404939 17.16205
400000.0 8.417759803 17.28457
600000.0 12.0956484149 17.24328
857000.0 16.7408263233 16.83776
1110000.0 21.2756557162 16.76497
1370000.0 26.152193268 16.71082
1630000.0 31.5532801407 17.06002
1880000.0 37.3946056332 17.77589
2140000.0 43.3373678517 19.28368
2400000.0 47.5170677917 21.06764
2650000.0 50.3416484542 22.57109
2910000.0 52.3620917925 23.71579
3170000.0 53.7948754555 24.37985
3420000.0 54.9774049675 25.09138
3680000.0 55.8785212306 25.42893
3930000.0 56.6902105553 26.05164
4190000.0 57.4153287506 26.27015
4450000.0 58.0513845519 26.67359
4700000.0 58.5953165419 27.02727
4960000.0 59.0842351027 27.50788
5220000.0 59.5887861911 27.48376
5470000.0 59.962351002 27.63298
5730000.0 60.39534288 27.96539
5990000.0 60.8253818211 28.11085
6240000.0 61.0884681923 28.13422
6500000.0 61.3521474213 28.23593
