pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1494082035 11.62605
33300.0 0.2959164548 11.56626
50000.0 0.4477980319 11.58839
66700.0 0.5993117339 11.51688
83300.0 0.7523615104 11.53817
100000.0 0.899912727 11.62135
117000.0 1.0614353736 11.52713
133000.0 1.2092722804 11.58694
150000.0 1.3660477717 11.56551
167000.0 1.5301533718 11.61869
183000.0 1.6786321034 11.5712
200000.0 1.8359378828 11.59217
217000.0 1.9987011298 11.54919
233000.0 2.1554003065 11.5601
250000.0 2.3243352469 11.57142
267000.0 2.4931136446 11.60949
283000.0 2.6456683551 11.61126
300000.0 2.7842966415 11.48302
317000.0 2.9618844759 11.6133
333000.0 3.085488583 11.5653
350000.0 3.2515529228 11.53891
367000.0 3.4159031207 11.61529
383000.0 3.5757096687 11.57106
400000.0 3.7167545821 11.5849
600000.0 5.7408469271 11.65712
857000.0 8.7657711218 11.82527
1110000.0 12.1971250005 12.07348
1370000.0 16.384407605 12.46708
1630000.0 21.8156582079 12.91722
1880000.0 28.937946918 13.77368
2140000.0 40.0788044086 15.1791
2400000.0 54.1412659986 17.15295
2650000.0 64.6797983097 19.03165
2910000.0 71.1915120434 20.86682
3170000.0 75.245046578 22.09876
3420000.0 77.8863669614 22.91128
3680000.0 80.1532334506 23.74398
3930000.0 81.8361626493 24.39036
4190000.0 83.2982238888 24.63558
4450000.0 84.7620834118 25.22333
4700000.0 85.72603186 25.50911
4960000.0 86.6761693343 25.823
5220000.0 87.5971448727 25.87309
5470000.0 88.4152973387 26.03137
5730000.0 89.1164204882 26.54651
5990000.0 89.8017817512 26.60728
6240000.0 90.3131008705 26.76867
6500000.0 90.9789823595 27.14039
