pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0579207746 5.83597
33300.0 0.1139630376 5.82537
50000.0 0.1715120235 5.83007
66700.0 0.2308025461 5.81195
83300.0 0.2895256017 5.87959
100000.0 0.3468789093 5.86752
117000.0 0.4035864785 5.89337
133000.0 0.4654403868 5.89357
150000.0 0.5256505974 5.907
167000.0 0.5689150679 5.86322
183000.0 0.6316495285 5.8846
200000.0 0.6922510957 5.94676
217000.0 0.7471779925 5.90375
233000.0 0.8025549493 5.88427
250000.0 0.8642914506 5.94604
267000.0 0.9125848532 5.86834
283000.0 0.9792328796 5.89323
300000.0 1.0276436892 5.89323
317000.0 1.0940764696 5.81463
333000.0 1.1597069689 5.93016
350000.0 1.1942246197 5.87832
367000.0 1.2696781694 5.96336
383000.0 1.3111619674 5.8573
400000.0 1.3505911433 5.95589
600000.0 2.0536828165 5.94322
857000.0 2.9080533776 5.90572
1110000.0 3.7135435013 5.92852
1370000.0 4.4946912453 6.02394
1630000.0 5.2942718845 6.00929
1880000.0 6.0739716092 6.02255
2140000.0 6.9186560949 6.1305
2400000.0 7.8001672352 6.12625
2650000.0 8.4846694706 6.00454
2910000.0 9.3829698084 6.05832
3170000.0 10.1750951046 6.06195
3420000.0 10.8754472817 6.19832
3680000.0 11.6497462855 6.20648
3930000.0 12.3916996675 6.22057
4190000.0 13.1042034666 6.3577
4450000.0 13.872925639 6.28149
4700000.0 14.5762912618 6.26651
4960000.0 15.3250933841 6.2218
5220000.0 15.8935583919 6.30822
5470000.0 16.6754888491 6.36962
5730000.0 17.3969547139 6.34797
5990000.0 18.0798523873 6.51864
6240000.0 18.6831089955 6.45505
6500000.0 19.323818429 6.45008
6750000.0 19.9954254648 6.4471
7000000.0 20.5083178375 6.46886
7250000.0 21.188456447 6.49762
7500000.0 21.7782503887 6.53422
7750000.0 22.3537011116 6.57259
8000000.0 22.8925599937 6.59286
8500000.0 24.0242262633 6.54518
9000000.0 25.1995874956 6.71414
9500000.0 26.3405680519 6.60081
10000000.0 27.3332048946 6.82723
10500000.0 28.4637557979 6.75458
11000000.0 29.3899598603 6.81824
12000000.0 31.3449816816 6.91929
13000000.0 33.1731061302 7.00124
14000000.0 34.908263822 7.06909
15000000.0 36.4244183687 7.21704
