pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1690424906 12.2349
33300.0 0.3393098077 12.26215
50000.0 0.5081350787 12.18658
66700.0 0.6766555121 12.18488
83300.0 0.8467859261 12.1161
100000.0 1.0260432144 12.17545
117000.0 1.1953120515 12.09927
133000.0 1.3538841918 12.08418
150000.0 1.5371938124 12.1706
167000.0 1.706207097 12.02277
183000.0 1.8733420709 12.00165
200000.0 2.0254396065 11.93262
217000.0 2.2262417945 11.98347
233000.0 2.3701616507 12.01398
250000.0 2.5676872908 12.15557
267000.0 2.7227328069 11.9232
283000.0 2.8833548432 11.93839
300000.0 3.0323474162 11.89572
317000.0 3.2333394431 11.98107
333000.0 3.3786721395 11.83404
350000.0 3.5336720213 11.90716
367000.0 3.6980013939 11.92576
383000.0 3.8850749375 11.9473
400000.0 4.0006248175 11.83568
600000.0 6.0890617615 11.80866
857000.0 9.1747101239 11.72734
1110000.0 12.4382759496 11.8713
1370000.0 16.3415991596 12.13094
1630000.0 20.9666901963 12.46349
1880000.0 26.6388308614 12.98525
2140000.0 35.1360841337 13.97732
2400000.0 47.6689309299 15.50289
2650000.0 62.400324933 17.6022
2910000.0 72.2579735094 19.57662
3170000.0 77.7056989372 21.08944
3420000.0 81.2648477155 22.16963
3680000.0 84.0142346462 23.12589
3930000.0 86.0774540364 23.62458
4190000.0 87.8586055495 24.27691
4450000.0 89.181275831 24.52607
4700000.0 90.5646325255 25.13223
4960000.0 91.6016553698 25.58098
5220000.0 92.5509214919 25.57495
5470000.0 93.5203926883 25.83326
5730000.0 94.2455392838 26.02905
5990000.0 95.0073631366 26.24443
6240000.0 95.7778264886 26.79149
6500000.0 96.4663907463 26.75314
