pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0611683119 5.98596
33300.0 0.1221358326 5.98708
50000.0 0.1834136669 5.99053
66700.0 0.2438335751 5.95878
83300.0 0.3032860347 6.03648
100000.0 0.3675939913 5.99057
117000.0 0.4287623032 5.95219
133000.0 0.4865536716 5.94713
150000.0 0.5450021749 5.90585
167000.0 0.6033046483 5.96582
183000.0 0.6761188519 6.04093
200000.0 0.7229762248 5.92668
217000.0 0.7863349865 5.98812
233000.0 0.8450755498 6.02052
250000.0 0.9041446806 6.04262
267000.0 0.9636519014 5.93464
283000.0 1.025641632 6.00371
300000.0 1.0887813487 5.99287
317000.0 1.1630923597 6.00333
333000.0 1.214786976 5.90192
350000.0 1.2670474585 5.97843
367000.0 1.3326331776 5.94979
383000.0 1.3963935218 5.94318
400000.0 1.4474492569 5.89772
600000.0 2.1712469004 5.94432
857000.0 3.0254493246 5.98399
1110000.0 3.8908960579 5.99247
1370000.0 4.6831817665 5.9947
1630000.0 5.5444848989 5.9952
1880000.0 6.3663416804 6.00554
2140000.0 7.2671276713 5.98475
2400000.0 8.060928441 6.12896
2650000.0 8.8916017831 6.00205
2910000.0 9.7155942532 6.05654
3170000.0 10.5738125021 6.07735
3420000.0 11.2764905583 6.18752
3680000.0 12.1594973979 6.11927
3930000.0 12.8596016756 6.16141
4190000.0 13.7011907594 6.12494
4450000.0 14.4075195653 6.10454
4700000.0 15.1656890176 6.18421
4960000.0 15.8172383237 6.16865
5220000.0 16.7122013687 6.16838
5470000.0 17.3471397635 6.31438
5730000.0 18.0269276189 6.29442
5990000.0 18.684427647 6.33039
6240000.0 19.3112431237 6.24319
6500000.0 20.1158501126 6.41497
6750000.0 20.7239372431 6.29415
7000000.0 21.4217415484 6.38228
7250000.0 21.9381218454 6.32777
7500000.0 22.6146422797 6.42956
7750000.0 23.2932618951 6.36406
8000000.0 23.9180877131 6.40588
8500000.0 25.0089864967 6.35809
9000000.0 26.2322614658 6.42097
9500000.0 27.2958708951 6.60631
10000000.0 28.553517673 6.58071
10500000.0 29.4793660609 6.64843
11000000.0 30.5372255593 6.58102
12000000.0 32.4657158557 6.63684
13000000.0 34.3305370767 6.85937
14000000.0 36.1308130422 6.85728
15000000.0 37.8733158932 7.00746
