pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1726141642 11.89528
33300.0 0.3443057159 11.84922
50000.0 0.5164775967 11.79948
66700.0 0.6921401872 11.81665
83300.0 0.8566149107 11.82939
100000.0 1.0336091071 11.87491
117000.0 1.2179247577 11.73202
133000.0 1.3820760912 11.78786
150000.0 1.5629795019 11.80039
167000.0 1.7258539205 11.75555
183000.0 1.8965562792 11.73793
200000.0 2.0830310336 11.64561
217000.0 2.2541637863 11.68951
233000.0 2.4285328169 11.68729
250000.0 2.5965648303 11.71864
267000.0 2.7741463599 11.6136
283000.0 2.953749077 11.74718
300000.0 3.1266152952 11.69996
317000.0 3.301069929 11.58174
333000.0 3.4517316196 11.64733
350000.0 3.6409599447 11.59077
367000.0 3.7988598643 11.63887
383000.0 3.9488628856 11.50656
400000.0 4.1149997385 11.48366
600000.0 6.1808054993 11.50248
857000.0 9.0527202631 11.34571
1110000.0 12.1803461521 11.41843
1370000.0 15.6846048668 11.48789
1630000.0 19.643333525 11.58891
1880000.0 24.1630082819 11.83466
2140000.0 29.9937607594 12.32687
2400000.0 37.6514027513 12.96147
2650000.0 48.7361939677 14.13321
2910000.0 66.9951852937 16.07035
3170000.0 82.0697482297 18.41432
3420000.0 89.591150298 20.21383
3680000.0 94.4474669034 21.56337
3930000.0 97.4555026975 22.36622
4190000.0 100.210271814 23.08144
4450000.0 102.236868917 23.87905
4700000.0 103.914228605 24.21686
4960000.0 105.44249124 24.35514
5220000.0 106.863317062 24.97933
5470000.0 107.963889298 25.17668
5730000.0 108.991151877 25.458
5990000.0 109.977617381 25.72986
6240000.0 110.790134737 25.96777
6500000.0 111.646228895 26.13311
