pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0652962441 5.68318
33300.0 0.1323758889 5.78486
50000.0 0.2009298115 5.85792
66700.0 0.2644188762 5.81146
83300.0 0.3317838651 5.80342
100000.0 0.4049746296 5.84382
117000.0 0.4659669333 5.80796
133000.0 0.530193137 5.76839
150000.0 0.5969161016 5.79248
167000.0 0.6662309419 5.74431
183000.0 0.7387559035 5.82871
200000.0 0.8057166549 5.74097
217000.0 0.8594564625 5.78003
233000.0 0.935215324 5.75461
250000.0 1.0091907848 5.75658
267000.0 1.0553451947 5.75301
283000.0 1.1243271336 5.69377
300000.0 1.1777340397 5.68382
317000.0 1.2618629951 5.79004
333000.0 1.3297511148 5.72832
350000.0 1.388436887 5.68699
367000.0 1.4655035757 5.73349
383000.0 1.5086856511 5.7503
400000.0 1.5979983579 5.75305
600000.0 2.3506647868 5.76512
857000.0 3.3212152232 5.79933
1110000.0 4.2891024479 5.81099
1370000.0 5.157761258 5.7457
1630000.0 6.1524946078 5.8304
1880000.0 6.979612071 5.72194
2140000.0 7.9595550844 5.75529
2400000.0 8.8235057166 5.82232
2650000.0 9.7533946172 5.72596
2910000.0 10.5676478167 5.74638
3170000.0 11.5375562288 5.80928
3420000.0 12.3604648664 5.834
3680000.0 13.2866680722 5.86396
3930000.0 14.2386473627 5.83135
4190000.0 15.065099023 5.79787
4450000.0 15.7571773857 5.85899
4700000.0 16.6422197035 5.87584
4960000.0 17.5055520901 5.89166
5220000.0 18.2951705814 5.90532
5470000.0 19.0412503171 5.89799
5730000.0 19.7465496236 6.03621
5990000.0 20.5199510579 5.93748
6240000.0 21.3041242325 5.85213
6500000.0 22.0468749535 6.0289
6750000.0 22.8573473436 5.91118
7000000.0 23.4742850904 6.0995
7250000.0 24.2169169181 6.01766
7500000.0 24.7881758284 6.04461
7750000.0 25.6629457582 5.95473
8000000.0 26.2954585376 6.11962
8500000.0 27.6638024435 6.05989
9000000.0 28.8814608801 5.99589
9500000.0 30.1669361003 6.15333
10000000.0 31.4962829777 6.19826
10500000.0 32.646600204 6.25969
11000000.0 33.697451229 6.33785
12000000.0 36.1728351711 6.32171
13000000.0 38.3776653385 6.38593
14000000.0 40.2336385514 6.43735
15000000.0 42.1858440659 6.59266
