pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1648054273 11.4657
33300.0 0.3288758128 11.42821
50000.0 0.4939444031 11.53392
66700.0 0.6586082668 11.56306
83300.0 0.8297259782 11.57707
100000.0 1.0061940674 11.55625
117000.0 1.1754859715 11.60597
133000.0 1.3308756051 11.5539
150000.0 1.5092983607 11.59011
167000.0 1.6993492948 11.58023
183000.0 1.8602054609 11.63699
200000.0 2.0460294514 11.61777
217000.0 2.2199003931 11.64792
233000.0 2.372170183 11.62842
250000.0 2.5520013149 11.59491
267000.0 2.7344658925 11.65776
283000.0 2.9192136367 11.63985
300000.0 3.0730515156 11.62293
317000.0 3.251568647 11.72099
333000.0 3.4573077306 11.67379
350000.0 3.5925771854 11.66574
367000.0 3.7594897322 11.80207
383000.0 3.926469431 11.72198
400000.0 4.1197109906 11.82677
600000.0 6.4353101853 11.98011
857000.0 9.8247363597 12.09106
1110000.0 13.7170399628 12.43288
1370000.0 18.2536883936 12.7803
1630000.0 23.995984915 13.21829
1880000.0 31.2671555007 14.02066
2140000.0 41.737808407 15.03337
2400000.0 55.8657657276 16.79458
2650000.0 67.7908084709 18.69423
2910000.0 75.4249716945 20.34988
3170000.0 80.0338792633 21.88956
3420000.0 83.0645724119 22.7139
3680000.0 85.5433508675 23.56748
3930000.0 87.502456645 24.28275
4190000.0 89.0529391208 24.53742
4450000.0 90.4652700524 25.11556
4700000.0 91.6971527801 25.25941
4960000.0 92.7560974338 25.85256
5220000.0 93.6633458116 25.94425
5470000.0 94.4414410078 26.46833
5730000.0 95.3192459739 26.41312
5990000.0 95.9761572925 26.78197
6240000.0 96.5480687501 26.89659
6500000.0 97.1542531158 26.70932
