pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0604549125 5.84658
33300.0 0.1195486366 5.79917
50000.0 0.1828166717 5.86708
66700.0 0.2434712251 5.80661
83300.0 0.3028734852 5.76926
100000.0 0.3616586733 5.77914
117000.0 0.4205527565 5.82868
133000.0 0.4854542176 5.79714
150000.0 0.5363808115 5.76357
167000.0 0.5962005028 5.78803
183000.0 0.6572724873 5.83623
200000.0 0.7142064592 5.84985
217000.0 0.7766033337 5.86324
233000.0 0.834698853 5.85425
250000.0 0.9158619778 5.85824
267000.0 0.9647921621 5.77753
283000.0 1.0280783464 5.81881
300000.0 1.0771537242 5.83888
317000.0 1.1416014558 5.83344
333000.0 1.1936895972 5.83862
350000.0 1.2453058599 5.86242
367000.0 1.3148716598 5.86403
383000.0 1.3828221828 5.83924
400000.0 1.4353459044 5.89049
600000.0 2.1371564749 6.01433
857000.0 3.0462851076 5.86925
1110000.0 3.8105832986 5.90418
1370000.0 4.7338501411 6.01453
1630000.0 5.5028852675 5.92451
1880000.0 6.3869135868 5.96413
2140000.0 7.238436728 5.93366
2400000.0 8.1229369259 5.9284
2650000.0 8.9284337513 6.10027
2910000.0 9.7072694339 6.11456
3170000.0 10.5198081404 5.98653
3420000.0 11.2853041771 6.07986
3680000.0 12.0983873589 6.08992
3930000.0 13.0000929777 6.10049
4190000.0 13.6460222287 6.22995
4450000.0 14.3879061846 6.18308
4700000.0 15.0343254633 6.04314
4960000.0 15.765392509 6.22861
5220000.0 16.6577331519 6.1649
5470000.0 17.217399359 6.18478
5730000.0 17.9838754513 6.24763
5990000.0 18.6174814103 6.30663
6240000.0 19.3747558693 6.24254
6500000.0 20.0671651655 6.32001
6750000.0 20.7310258044 6.26202
7000000.0 21.45922528 6.36049
7250000.0 22.0694187991 6.30728
7500000.0 22.6761458252 6.42076
7750000.0 23.3353239762 6.39472
8000000.0 23.8946816473 6.46886
8500000.0 25.0623634721 6.42482
9000000.0 26.2489567406 6.53434
9500000.0 27.3124078352 6.58175
10000000.0 28.5049903325 6.54581
10500000.0 29.5616173362 6.59881
11000000.0 30.5558111669 6.63045
12000000.0 32.5794808308 6.78402
13000000.0 34.4647267128 6.8066
14000000.0 36.3299903497 6.85608
15000000.0 38.072765183 6.95625
