pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1620477883 10.87934
33300.0 0.3240014305 10.95377
50000.0 0.4860671514 10.97228
66700.0 0.6576640402 10.97854
83300.0 0.8157352782 10.99823
100000.0 0.9912728522 11.0594
117000.0 1.1631566624 11.09374
133000.0 1.3242271249 11.08317
150000.0 1.5050817099 11.11502
167000.0 1.6836005759 11.16153
183000.0 1.8468588135 11.18989
200000.0 2.0188816012 11.14378
217000.0 2.2144095224 11.21787
233000.0 2.3664150641 11.21974
250000.0 2.5643862997 11.24781
267000.0 2.7490291429 11.27492
283000.0 2.9247281101 11.27808
300000.0 3.1245733007 11.38414
317000.0 3.3237191205 11.36394
333000.0 3.4920208972 11.36119
350000.0 3.6889385936 11.38127
367000.0 3.8828301665 11.41438
383000.0 4.0491279771 11.4077
400000.0 4.2714068292 11.47137
600000.0 6.7248845849 11.8088
857000.0 10.1474525873 12.13833
1110000.0 14.4023479905 12.62844
1370000.0 20.0249032352 13.31121
1630000.0 27.6545314751 14.22008
1880000.0 37.9206529318 15.46024
2140000.0 51.2269973009 17.23882
2400000.0 62.3172733837 19.1467
2650000.0 68.7354883797 20.91888
2910000.0 72.9513938639 22.16188
3170000.0 76.0675029853 23.15056
3420000.0 78.1146732366 23.8449
3680000.0 79.9853644532 24.46033
3930000.0 81.3521814632 25.13227
4190000.0 82.6819452732 25.47368
4450000.0 83.7534798848 25.71815
4700000.0 84.7251120753 26.01618
4960000.0 85.5427257916 26.24172
5220000.0 86.3454420144 26.55148
5470000.0 87.0166944696 26.94038
5730000.0 87.8233737932 26.89615
5990000.0 88.3135699219 27.18064
6240000.0 88.9168130552 27.56727
6500000.0 89.3696062985 27.47695
