pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0617777492 6.09047
33300.0 0.1249901051 6.03032
50000.0 0.1873954947 6.08921
66700.0 0.246931671 6.08906
83300.0 0.3068713304 6.14784
100000.0 0.3745668321 6.10215
117000.0 0.4361652554 6.05726
133000.0 0.4909492972 6.16304
150000.0 0.5594069336 6.09194
167000.0 0.6240538961 6.0695
183000.0 0.6842177129 6.12462
200000.0 0.7400328781 6.08252
217000.0 0.8075042225 6.10373
233000.0 0.8763205106 6.16619
250000.0 0.9376051138 6.08096
267000.0 1.0041349975 6.13968
283000.0 1.0509390398 6.07377
300000.0 1.1328461136 6.1099
317000.0 1.1934582449 6.16268
333000.0 1.236630939 6.14054
350000.0 1.295449812 6.09927
367000.0 1.3587069993 6.11821
383000.0 1.4266714897 6.10094
400000.0 1.4813658686 6.15832
600000.0 2.2148981853 6.11331
857000.0 3.1999349817 6.16095
1110000.0 4.077690099 6.18529
1370000.0 4.9987075733 6.26309
1630000.0 5.9128210031 6.22289
1880000.0 6.6711899475 6.31806
2140000.0 7.5046515843 6.30194
2400000.0 8.3758613087 6.36561
2650000.0 9.1302402534 6.31033
2910000.0 9.8933613324 6.36632
3170000.0 10.6611897146 6.51354
3420000.0 11.6255143774 6.47158
3680000.0 12.2175586124 6.46685
3930000.0 13.0611521587 6.38897
4190000.0 13.8509031238 6.50044
4450000.0 14.5025731981 6.54918
4700000.0 15.2131518083 6.55113
4960000.0 16.0951659141 6.674
5220000.0 16.7291275625 6.59178
5470000.0 17.3593681999 6.55815
5730000.0 18.2657257874 6.62731
5990000.0 18.799982273 6.67777
6240000.0 19.5654794193 6.66086
6500000.0 19.9963545627 6.67233
6750000.0 20.7567409228 6.67956
7000000.0 21.6331510964 6.781
7250000.0 22.175432413 6.71123
7500000.0 22.8647609121 6.79901
7750000.0 23.3500614456 6.76783
8000000.0 23.8790726506 6.91283
8500000.0 25.1317084202 6.88748
9000000.0 26.2485945347 6.90277
9500000.0 27.3778989632 7.08012
10000000.0 28.3077482347 7.00251
10500000.0 29.4075535638 7.14986
11000000.0 30.5910143935 7.1294
12000000.0 32.4335424882 7.18674
13000000.0 34.155698118 7.2705
14000000.0 35.6967346572 7.42417
15000000.0 37.4682945538 7.46546
