pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.4242960843 17.08907
33300.0 0.8593474459 17.2178
50000.0 1.307065856 17.39031
66700.0 1.7584156079 17.52529
83300.0 2.2110379786 17.61822
100000.0 2.6582275525 17.72611
117000.0 3.1620367178 17.89368
133000.0 3.6485944503 18.05415
150000.0 4.2152850825 18.16734
167000.0 4.7632969929 18.3195
183000.0 5.3262493787 18.48001
200000.0 5.9401269843 18.61297
217000.0 6.5704610625 18.79312
233000.0 7.1917059819 18.91127
250000.0 7.8291207787 19.0366
267000.0 8.5432475306 19.28135
283000.0 9.1525214181 19.3858
300000.0 9.8976004407 19.57194
317000.0 10.615235708 19.83888
333000.0 11.270709408 19.87504
350000.0 12.0039891284 20.00645
367000.0 12.7706742373 20.20006
383000.0 13.4870493959 20.40952
400000.0 14.2577002076 20.53782
600000.0 22.2620534187 22.70272
857000.0 28.3454881885 25.3211
1110000.0 31.2295526797 27.00405
1370000.0 33.0277868099 28.21427
1630000.0 34.2007511794 29.18259
1880000.0 35.036319193 29.65579
2140000.0 35.8005887145 29.82673
2400000.0 36.3856828464 30.44569
2650000.0 36.8628648249 30.81704
2910000.0 37.2621987035 31.22486
3170000.0 37.6852119336 31.1811
3420000.0 37.9978644419 31.24724
3680000.0 38.267377564 31.38114
3930000.0 38.5200498121 31.50916
4190000.0 38.7551317173 32.06332
4450000.0 39.0053235531 31.8138
4700000.0 39.2005767004 31.85753
4960000.0 39.3482937287 31.59954
5220000.0 39.5591367396 32.05886
5470000.0 39.6630001685 31.97883
5730000.0 39.8464039732 32.19555
5990000.0 40.0219832767 32.12307
6240000.0 40.1815712561 31.98308
6500000.0 40.2477428802 31.77876
