pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1603874244 11.74599
33300.0 0.3191965188 11.7768
50000.0 0.4846302008 11.81945
66700.0 0.6475805083 11.87993
83300.0 0.8160862667 11.8908
100000.0 0.9810293638 11.93944
117000.0 1.1478823586 11.89929
133000.0 1.3140603764 11.98288
150000.0 1.4820332581 11.94463
167000.0 1.6649537538 11.94942
183000.0 1.8203981125 12.04417
200000.0 2.0055499236 12.07678
217000.0 2.1834630701 12.09811
233000.0 2.3598790869 12.07822
250000.0 2.513129347 12.02563
267000.0 2.7040666765 12.09549
283000.0 2.8555728227 12.10293
300000.0 3.0369217551 12.08143
317000.0 3.2127169283 12.17678
333000.0 3.3784669529 12.12476
350000.0 3.5491431266 12.2312
367000.0 3.7221538076 12.23283
383000.0 3.9135732635 12.40011
400000.0 4.0996859443 12.26895
600000.0 6.4772802206 12.60505
857000.0 10.0194993336 12.96085
1110000.0 14.038015471 13.3517
1370000.0 18.6941532434 13.81534
1630000.0 24.2095944277 14.22441
1880000.0 30.433727772 14.83254
2140000.0 38.1416114215 15.58794
2400000.0 47.4466313851 16.75046
2650000.0 56.3597112413 18.18204
2910000.0 62.9064041484 19.75834
3170000.0 67.1810800299 21.23209
3420000.0 69.8780061588 22.41142
3680000.0 71.9546198407 23.23098
3930000.0 73.4960460118 23.9074
4190000.0 74.9509736091 24.41339
4450000.0 76.0857150594 24.81912
4700000.0 77.0419698865 25.38911
4960000.0 77.9509340222 25.8236
5220000.0 78.7713560442 25.95965
5470000.0 79.4751355887 26.21426
5730000.0 80.1075553323 26.45755
5990000.0 80.7476197418 26.48988
6240000.0 81.3383617618 26.97094
6500000.0 81.7963193698 27.22911
