pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0602066073 6.32025
33300.0 0.1176050389 6.43963
50000.0 0.1739715507 6.39782
66700.0 0.2305918133 6.32632
83300.0 0.2946892662 6.38361
100000.0 0.3543207049 6.35349
117000.0 0.4154069816 6.40744
133000.0 0.4653113063 6.42742
150000.0 0.5244690769 6.36449
167000.0 0.5836945144 6.38445
183000.0 0.6356795956 6.46705
200000.0 0.696359871 6.38473
217000.0 0.7507471265 6.38277
233000.0 0.8135927421 6.42691
250000.0 0.8685889995 6.27586
267000.0 0.9401636428 6.34201
283000.0 0.9832674459 6.4638
300000.0 1.0545037547 6.40605
317000.0 1.1024119064 6.37453
333000.0 1.1568668288 6.32768
350000.0 1.2206259473 6.40178
367000.0 1.2575382308 6.34248
383000.0 1.3260509476 6.38236
400000.0 1.3731809302 6.3572
600000.0 2.0491054032 6.35618
857000.0 2.9140065577 6.41387
1110000.0 3.7061658153 6.41093
1370000.0 4.4906110485 6.56996
1630000.0 5.3517566911 6.45214
1880000.0 6.1606973352 6.45457
2140000.0 6.830464122 6.56978
2400000.0 7.7015906296 6.58858
2650000.0 8.4605085319 6.61408
2910000.0 9.2336872295 6.54913
3170000.0 9.9558789322 6.59013
3420000.0 10.6366585039 6.44875
3680000.0 11.4521966689 6.57552
3930000.0 12.1633925035 6.52985
4190000.0 12.7980909293 6.56083
4450000.0 13.5098450157 6.67893
4700000.0 14.090765188 6.82043
4960000.0 14.8228024219 6.63269
5220000.0 15.5168108688 6.71062
5470000.0 16.1347279082 6.68529
5730000.0 16.7488725189 6.76502
5990000.0 17.3722029088 6.87231
6240000.0 17.9229944023 6.77353
6500000.0 18.5409114417 6.87138
6750000.0 19.1573398097 6.8046
7000000.0 19.791885985 6.83852
7250000.0 20.2858034652 6.82721
7500000.0 20.7757116827 6.81833
7750000.0 21.2952072438 6.87183
8000000.0 21.921176642 6.86927
8500000.0 22.9245919017 6.85956
9000000.0 23.9457358841 6.9897
9500000.0 24.8731781533 7.06224
10000000.0 25.8399179635 7.00452
10500000.0 26.7015034409 6.98147
11000000.0 27.6296900458 7.14788
12000000.0 29.3478029012 7.12021
13000000.0 30.9489366362 7.15415
14000000.0 32.4397395221 7.23555
15000000.0 33.8160500455 7.2749
