pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1738614656 12.78542
33300.0 0.3460911397 12.86869
50000.0 0.5250135236 12.9077
66700.0 0.6996554112 12.89811
83300.0 0.8767662702 12.88994
100000.0 1.0528531209 12.91272
117000.0 1.2383286846 12.83206
133000.0 1.4073349795 12.88395
150000.0 1.5943642925 12.87958
167000.0 1.7791658554 12.8569
183000.0 1.9600416593 12.97429
200000.0 2.1425729037 12.94974
217000.0 2.3270741224 12.8782
233000.0 2.5052775722 12.9692
250000.0 2.7104694334 12.9382
267000.0 2.8956872214 12.96019
283000.0 3.0727034838 13.04276
300000.0 3.2573986256 13.06628
317000.0 3.4586032399 13.01834
333000.0 3.6425983668 13.00921
350000.0 3.8416769223 13.03319
367000.0 4.0277318903 13.05609
383000.0 4.1920651128 13.15462
400000.0 4.4015043616 13.19233
600000.0 6.8340820778 13.32257
857000.0 10.552572936 13.79828
1110000.0 15.0596376493 14.39269
1370000.0 20.8247047763 15.16572
1630000.0 27.9012734269 16.21344
1880000.0 35.0870751424 16.94306
2140000.0 42.7521931266 18.12476
2400000.0 49.4120755559 19.75439
2650000.0 53.5458880793 21.35243
2910000.0 56.4073289647 22.60999
3170000.0 58.5377462047 23.71235
3420000.0 59.9836009218 24.19494
3680000.0 61.2196167194 24.74657
3930000.0 62.2997112977 25.38635
4190000.0 63.222004549 25.84816
4450000.0 63.9560316367 26.07466
4700000.0 64.834744232 26.36716
4960000.0 65.4154373175 26.7639
5220000.0 65.9592329971 26.88291
5470000.0 66.4758037737 26.82184
5730000.0 66.9805405151 27.53659
5990000.0 67.346882423 27.3397
6240000.0 67.8044864058 27.75485
6500000.0 68.1454196656 27.64277
