pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0529740989 6.83351
33300.0 0.1076745858 6.81243
50000.0 0.1609561237 6.83789
66700.0 0.2167208225 6.78315
83300.0 0.2714686077 6.83666
100000.0 0.3268076217 6.72825
117000.0 0.3798763172 6.8113
133000.0 0.4317862043 6.8294
150000.0 0.4818514576 6.75669
167000.0 0.54225139 6.81306
183000.0 0.5995532836 6.81039
200000.0 0.6526929266 6.75904
217000.0 0.7063528509 6.75036
233000.0 0.760296565 6.80768
250000.0 0.79610138 6.84832
267000.0 0.8605926156 6.88539
283000.0 0.9124079061 6.8921
300000.0 0.9746288231 6.76512
317000.0 1.0174101378 6.82973
333000.0 1.0725599587 6.85832
350000.0 1.1419229194 6.75763
367000.0 1.180778475 6.79958
383000.0 1.2311275181 6.85437
400000.0 1.2897537641 6.85982
600000.0 1.9086757027 6.87695
857000.0 2.7047770827 6.74193
1110000.0 3.4769455216 6.82469
1370000.0 4.2007750953 6.96419
1630000.0 4.8968405653 6.9298
1880000.0 5.6052981906 6.95128
2140000.0 6.3126443058 6.88262
2400000.0 7.0019934169 6.87999
2650000.0 7.6285776805 6.98504
2910000.0 8.2490841121 7.01831
3170000.0 9.0197390054 6.98492
3420000.0 9.5923795548 7.06715
3680000.0 10.3463617964 7.02702
3930000.0 10.9707230397 7.10361
4190000.0 11.4289962935 7.10875
4450000.0 12.2555814295 7.12698
4700000.0 12.7465614595 7.09059
4960000.0 13.3725781434 7.03681
5220000.0 13.9146403403 7.0755
5470000.0 14.5181430321 7.09242
5730000.0 15.1510416191 7.1343
5990000.0 15.6075175374 7.1645
6240000.0 16.1227379475 7.19031
6500000.0 16.7287238002 7.23891
6750000.0 17.0813089969 7.33635
7000000.0 17.7170691311 7.28398
7250000.0 18.1450951204 7.34345
7500000.0 18.5690298065 7.26827
7750000.0 19.0286274128 7.30544
8000000.0 19.4355583591 7.33454
8500000.0 20.3945077949 7.36821
9000000.0 21.3240376865 7.46658
9500000.0 22.1526330004 7.51292
10000000.0 22.937098998 7.54764
10500000.0 23.7019834983 7.55204
11000000.0 24.3612035907 7.59511
12000000.0 25.8909962404 7.73962
13000000.0 27.1741282422 7.69091
14000000.0 28.4095126075 7.81888
15000000.0 29.6199707674 7.80037
