pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0716930972 9.67558
33300.0 0.1437350659 9.67084
50000.0 0.2145310649 9.61774
66700.0 0.2869343649 9.65212
83300.0 0.3578175818 9.60278
100000.0 0.4164155373 9.56203
117000.0 0.4947994919 9.6279
133000.0 0.5630287933 9.64395
150000.0 0.63968085 9.65117
167000.0 0.7084832974 9.66962
183000.0 0.7657356057 9.57942
200000.0 0.8349492232 9.59274
217000.0 0.9200364948 9.68559
233000.0 0.9842911528 9.70398
250000.0 1.0409204762 9.65729
267000.0 1.1200893917 9.52007
283000.0 1.1923556349 9.60434
300000.0 1.258254973 9.61879
317000.0 1.314859377 9.71675
333000.0 1.387013483 9.59252
350000.0 1.4510563262 9.60911
367000.0 1.5155726378 9.72262
383000.0 1.5785937859 9.72538
400000.0 1.667855056 9.6959
600000.0 2.3923116851 9.56263
857000.0 3.261662132 9.68118
1110000.0 4.2094962111 9.66323
1370000.0 5.0172459154 9.72331
1630000.0 5.79166593 9.79236
1880000.0 6.6280729377 9.65007
2140000.0 7.3601299821 9.80282
2400000.0 8.0539731354 9.80436
2650000.0 8.716953619 9.77555
2910000.0 9.4184221069 9.70659
3170000.0 10.0503281059 9.9717
3420000.0 10.6098058855 9.89503
3680000.0 11.1643496251 9.98434
3930000.0 11.6515860808 9.88225
4190000.0 12.2065908292 10.00381
4450000.0 12.6988859219 9.90203
4700000.0 13.1869696371 9.93066
4960000.0 13.7048071089 9.86996
5220000.0 14.1469145417 9.96837
5470000.0 14.5917008094 10.16468
5730000.0 14.983832397 9.96574
5990000.0 15.4330293974 10.06834
6240000.0 15.7149300447 10.11197
6500000.0 16.2065149347 10.02361
6750000.0 16.5231033788 10.09072
7000000.0 16.8448999762 10.21139
7250000.0 17.1755554183 10.10126
7500000.0 17.5389424847 10.32394
7750000.0 17.8686136107 10.12743
8000000.0 18.1782744631 10.11232
8500000.0 18.6665450737 10.19332
9000000.0 19.3051170106 10.15729
9500000.0 19.8367473672 10.30573
10000000.0 20.3522050369 10.24627
10500000.0 20.818322306 10.43326
11000000.0 21.2394974476 10.38106
12000000.0 22.1066799072 10.41403
13000000.0 22.869612081 10.44438
14000000.0 23.5718779896 10.50459
15000000.0 24.2491871249 10.61925
