pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.3812876599 21.20263
33300.0 0.7492544363 21.34143
50000.0 1.1034056006 20.81136
66700.0 1.4174914895 20.41744
83300.0 1.7255505961 20.57438
100000.0 2.0297990334 20.43198
117000.0 2.3201466606 20.11045
133000.0 2.5474526911 19.52358
150000.0 2.8727604974 19.54206
167000.0 3.1119100026 19.34234
183000.0 3.3970537815 19.34273
200000.0 3.6611749815 19.34468
217000.0 3.9206170746 19.13275
233000.0 4.1558232729 18.83102
250000.0 4.4289541496 18.78885
267000.0 4.7097063647 18.69164
283000.0 4.9123892372 18.63788
300000.0 5.1855317317 18.42426
317000.0 5.3790761625 18.06766
333000.0 5.6351016267 18.37777
350000.0 5.8998821421 18.3194
367000.0 6.1331249164 17.89445
383000.0 6.3400066894 18.14721
400000.0 6.5493650101 17.82122
600000.0 9.1915219315 17.08723
857000.0 12.40436626 16.71308
1110000.0 15.5675324741 16.21865
1370000.0 18.8455531874 16.17652
1630000.0 22.3260215108 15.95446
1880000.0 26.1180623854 16.07526
2140000.0 30.9826178489 16.65109
2400000.0 36.6253969672 17.94918
2650000.0 40.8766738246 19.67372
2910000.0 43.7655192961 21.09136
3170000.0 45.8424046853 22.66947
3420000.0 47.0896611118 23.43644
3680000.0 48.3316865817 24.04439
3930000.0 49.2716845682 24.66655
4190000.0 50.0691552005 25.23042
4450000.0 50.7179555172 25.57862
4700000.0 51.3194952097 26.15566
4960000.0 51.7925952125 26.22936
5220000.0 52.3014725196 26.46565
5470000.0 52.7700144353 26.74226
5730000.0 53.1244192569 26.98606
5990000.0 53.4636123828 27.25821
6240000.0 53.8314871842 27.22453
6500000.0 54.144130518 27.5628
