pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0445062152 7.70105
33300.0 0.0893028778 7.82411
50000.0 0.1332862878 7.75142
66700.0 0.1810939212 7.70253
83300.0 0.228020531 7.80632
100000.0 0.2695641832 7.69281
117000.0 0.3123470775 7.7723
133000.0 0.3558560902 7.81518
150000.0 0.4010109711 7.63261
167000.0 0.4430967918 7.85798
183000.0 0.4822490942 7.7586
200000.0 0.5267456279 7.82778
217000.0 0.5823082055 7.70348
233000.0 0.6081192931 7.60801
250000.0 0.6574275711 7.8077
267000.0 0.7102212173 7.73018
283000.0 0.7447457253 7.70076
300000.0 0.7922435482 7.61875
317000.0 0.8438463603 7.62915
333000.0 0.8761344238 7.65891
350000.0 0.9207858627 7.65381
367000.0 0.966918583 7.78694
383000.0 0.9937849627 7.59248
400000.0 1.0579738265 7.59407
600000.0 1.5746602945 7.60133
857000.0 2.1547320554 7.58301
1110000.0 2.7343391005 7.72727
1370000.0 3.3081662434 7.67057
1630000.0 3.9604722596 7.54494
1880000.0 4.5248114559 7.59362
2140000.0 5.0474908209 7.47439
2400000.0 5.621472869 7.61062
2650000.0 6.142845221 7.46646
2910000.0 6.6527158579 7.51773
3170000.0 7.1361751495 7.50449
3420000.0 7.6653411719 7.45519
3680000.0 8.1958819784 7.62974
3930000.0 8.6925663058 7.48237
4190000.0 9.1521314622 7.56974
4450000.0 9.6301981147 7.50596
4700000.0 10.0961531127 7.52675
4960000.0 10.4896414975 7.517
5220000.0 10.9303178948 7.6474
5470000.0 11.366908666 7.50525
5730000.0 11.7475786412 7.45398
5990000.0 12.2263907752 7.44547
6240000.0 12.5747533238 7.51627
6500000.0 12.9785332263 7.6565
6750000.0 13.3459588025 7.44393
7000000.0 13.6757230392 7.53429
7250000.0 14.1457733449 7.51823
7500000.0 14.4667757534 7.4485
7750000.0 14.8210634278 7.70173
8000000.0 15.144873494 7.45265
8500000.0 15.8368933442 7.5014
9000000.0 16.4929751759 7.63636
9500000.0 17.1565892755 7.59674
10000000.0 17.7041793414 7.59117
10500000.0 18.2586723725 7.61429
11000000.0 18.7928050446 7.65177
12000000.0 19.9152872269 7.567
13000000.0 20.9598133412 7.74218
14000000.0 21.9015017313 7.86369
15000000.0 22.7814216522 7.94173
