pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1630619762 10.47232
33300.0 0.3315272985 10.52596
50000.0 0.4977980878 10.47348
66700.0 0.6637211239 10.52773
83300.0 0.8299761062 10.56757
100000.0 0.9995321088 10.59745
117000.0 1.1796260855 10.61755
133000.0 1.3414287738 10.61035
150000.0 1.522742521 10.5636
167000.0 1.7007605169 10.70243
183000.0 1.8779960681 10.66301
200000.0 2.045012419 10.72985
217000.0 2.2234387614 10.79103
233000.0 2.4095736317 10.73093
250000.0 2.5886190801 10.75662
267000.0 2.7800782618 10.79116
283000.0 2.9503508467 10.78036
300000.0 3.1253022921 10.79135
317000.0 3.3192853186 10.82812
333000.0 3.4831481808 10.88729
350000.0 3.672180994 10.88494
367000.0 3.8712117102 10.91409
383000.0 4.0444349278 10.9958
400000.0 4.2481971943 10.98793
600000.0 6.504996547 11.17363
857000.0 9.8978580006 11.46947
1110000.0 13.8155685213 11.76871
1370000.0 18.499121038 12.16197
1630000.0 23.9087478711 12.58295
1880000.0 30.7712662642 13.06704
2140000.0 40.3628064348 13.89597
2400000.0 56.4628180493 15.68574
2650000.0 73.8293940354 18.11342
2910000.0 84.2808170825 20.16977
3170000.0 89.8392480128 21.50192
3420000.0 93.7986652004 22.42494
3680000.0 96.6691144933 23.19547
3930000.0 98.9785352195 23.82277
4190000.0 100.869174222 24.15552
4450000.0 102.547264922 24.80285
4700000.0 104.010265034 25.09075
4960000.0 105.202360177 25.43504
5220000.0 106.478714327 25.69989
5470000.0 107.486184164 26.07565
5730000.0 108.347768924 26.24985
5990000.0 109.156474129 26.42839
6240000.0 109.918561972 26.61271
6500000.0 110.66501673 26.8302
