pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0673903441 5.58865
33300.0 0.1378367007 5.55239
50000.0 0.1963224568 5.56508
66700.0 0.2660575001 5.60389
83300.0 0.332736531 5.57557
100000.0 0.398967698 5.64212
117000.0 0.4746830416 5.56908
133000.0 0.5410459333 5.58024
150000.0 0.6002430026 5.59966
167000.0 0.6709264636 5.532
183000.0 0.7339698935 5.56022
200000.0 0.8167720247 5.55259
217000.0 0.8636923542 5.58694
233000.0 0.9359038214 5.58235
250000.0 1.0100648139 5.60499
267000.0 1.078271851 5.56832
283000.0 1.1482703437 5.62438
300000.0 1.2244335513 5.63755
317000.0 1.2691409062 5.6252
333000.0 1.3380856015 5.55577
350000.0 1.4026306927 5.61567
367000.0 1.4899904976 5.58301
383000.0 1.5302192136 5.58267
400000.0 1.6142595568 5.60678
600000.0 2.3810025496 5.5579
857000.0 3.3971266985 5.66414
1110000.0 4.3640121637 5.70379
1370000.0 5.321123658 5.67396
1630000.0 6.1566269315 5.66874
1880000.0 7.080333048 5.76451
2140000.0 7.9723725523 5.79816
2400000.0 9.0567300834 5.80133
2650000.0 9.9303017882 5.76004
2910000.0 10.7634867075 5.83025
3170000.0 11.648966323 5.85252
3420000.0 12.5902972011 5.86134
3680000.0 13.5346840917 5.78971
3930000.0 14.3630215428 5.92269
4190000.0 15.2533749714 5.95071
4450000.0 16.0537341014 5.95686
4700000.0 16.9738573067 6.00455
4960000.0 17.7429449987 5.99372
5220000.0 18.6306639338 5.98062
5470000.0 19.4307859594 6.0372
5730000.0 20.0580061756 6.06233
5990000.0 20.9582126099 6.04433
6240000.0 21.7598626418 6.16333
6500000.0 22.5547947152 6.12875
6750000.0 23.3334456187 6.10871
7000000.0 24.0241571286 6.25611
7250000.0 24.8154009111 6.20414
7500000.0 25.4829815679 6.21419
7750000.0 26.2606050189 6.34411
8000000.0 26.8827670076 6.25221
8500000.0 28.3161949295 6.33407
9000000.0 29.5373353638 6.35387
9500000.0 30.8245225506 6.40778
10000000.0 32.1112882185 6.37101
10500000.0 33.3097983535 6.39164
11000000.0 34.5651081688 6.47412
12000000.0 36.7761595417 6.56007
13000000.0 38.8725841017 6.68164
14000000.0 40.9085733804 6.75161
15000000.0 43.0301046636 6.89987
