pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0574590783 5.87689
33300.0 0.1192993483 5.89765
50000.0 0.1806863916 5.93886
66700.0 0.2438359833 5.94892
83300.0 0.3042913939 5.93607
100000.0 0.3613979624 5.89369
117000.0 0.42434612 5.95509
133000.0 0.4856828048 5.86149
150000.0 0.5383578231 5.89859
167000.0 0.6054102006 5.94236
183000.0 0.659822588 5.87452
200000.0 0.7155946556 5.92987
217000.0 0.7852656765 5.93976
233000.0 0.8405089796 5.9179
250000.0 0.9007125975 5.93562
267000.0 0.9753187539 5.93758
283000.0 1.0194831813 5.93372
300000.0 1.1068300448 5.92606
317000.0 1.1409983047 5.94021
333000.0 1.1981804111 5.99866
350000.0 1.2583336705 5.94817
367000.0 1.313904304 5.99415
383000.0 1.3755683192 5.95027
400000.0 1.4343367191 5.99425
600000.0 2.1573844366 6.00045
857000.0 3.067942126 5.93464
1110000.0 3.8601824583 6.0282
1370000.0 4.7697077979 6.02349
1630000.0 5.56058845 6.11914
1880000.0 6.3586703714 6.12844
2140000.0 7.223779491 6.15259
2400000.0 8.1000682033 6.23066
2650000.0 8.9409045133 6.26936
2910000.0 9.6388736849 6.23564
3170000.0 10.4774438612 6.28277
3420000.0 11.2354403958 6.34816
3680000.0 12.098031589 6.33087
3930000.0 12.8541648582 6.37513
4190000.0 13.7133064924 6.40424
4450000.0 14.4210703972 6.47201
4700000.0 15.0483613774 6.47217
4960000.0 15.7922071662 6.53697
5220000.0 16.5721096596 6.57371
5470000.0 17.2108320252 6.60448
5730000.0 18.0014105261 6.60286
5990000.0 18.5543219633 6.639
6240000.0 19.2579061104 6.69681
6500000.0 20.0634914522 6.72531
6750000.0 20.5817814026 6.76505
7000000.0 21.2941531126 6.86995
7250000.0 21.8937469034 6.78521
7500000.0 22.4847545655 6.83563
7750000.0 23.1443505401 6.87398
8000000.0 23.8002451631 6.85671
8500000.0 24.8944100385 6.88229
9000000.0 25.973542894 6.96647
9500000.0 27.0270180804 6.98984
10000000.0 28.2137419268 7.09972
10500000.0 29.2299769831 7.14164
11000000.0 30.2130761293 7.22157
12000000.0 31.9034859536 7.18008
13000000.0 33.799811791 7.3696
14000000.0 35.4560533553 7.38765
15000000.0 36.9485038136 7.49678
