pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0659415855 8.56548
33300.0 0.1285339113 8.64906
50000.0 0.1939900968 8.61824
66700.0 0.2557572426 8.62347
83300.0 0.3185073234 8.57805
100000.0 0.3858444338 8.52737
117000.0 0.4442623199 8.62415
133000.0 0.5188197548 8.62519
150000.0 0.5712065462 8.51422
167000.0 0.6367234068 8.54584
183000.0 0.7089873269 8.49804
200000.0 0.7628545882 8.66333
217000.0 0.8206899943 8.51369
233000.0 0.8851875149 8.57715
250000.0 0.943666076 8.45857
267000.0 1.0030547619 8.53794
283000.0 1.0695060174 8.48303
300000.0 1.1307270883 8.47608
317000.0 1.1908438742 8.52685
333000.0 1.25273237 8.57117
350000.0 1.3235643602 8.44786
367000.0 1.3840330611 8.52478
383000.0 1.4226830335 8.48532
400000.0 1.4772419898 8.48976
600000.0 2.1539744889 8.49679
857000.0 2.9715821934 8.4201
1110000.0 3.8052566368 8.46705
1370000.0 4.5733535447 8.19864
1630000.0 5.365186511 8.36228
1880000.0 6.0978734913 8.24189
2140000.0 6.838860811 8.23017
2400000.0 7.4818580124 8.31173
2650000.0 8.1534331368 8.09028
2910000.0 8.9036309209 8.19805
3170000.0 9.5205136041 8.20011
3420000.0 10.1032483995 8.20565
3680000.0 10.6884465998 8.09673
3930000.0 11.2230418536 8.20016
4190000.0 11.8365146019 8.19867
4450000.0 12.3873464846 8.1105
4700000.0 12.8592401976 8.11459
4960000.0 13.4019659007 8.09068
5220000.0 13.9595691129 8.22722
5470000.0 14.4134908921 8.16426
5730000.0 14.8703250711 8.17376
5990000.0 15.3265160952 8.16566
6240000.0 15.844935395 8.18302
6500000.0 16.2329641287 8.0387
6750000.0 16.6541578151 8.18622
7000000.0 17.2022471879 8.11318
7250000.0 17.4761098493 8.09092
7500000.0 17.9477487273 8.2268
7750000.0 18.2952222938 8.08537
8000000.0 18.7579904874 8.19452
8500000.0 19.4205978474 8.25216
9000000.0 20.1516344678 8.24618
9500000.0 20.8757784087 8.17892
10000000.0 21.5176106501 8.21945
10500000.0 22.0638919081 8.23245
11000000.0 22.7149224789 8.23511
12000000.0 23.8898209642 8.30257
13000000.0 24.9527619471 8.45764
14000000.0 25.9362550903 8.49781
15000000.0 26.9261676482 8.42523
