pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1781634607 10.69154
33300.0 0.3547884495 10.72489
50000.0 0.5332900181 10.68801
66700.0 0.7130744555 10.77032
83300.0 0.9023534163 10.78702
100000.0 1.0868066549 10.82662
117000.0 1.2722483334 10.86589
133000.0 1.4502920813 10.85182
150000.0 1.6444825044 11.02691
167000.0 1.8514886737 10.98697
183000.0 2.0200249563 10.9134
200000.0 2.2192902337 10.93251
217000.0 2.4175557471 11.04185
233000.0 2.5944784003 11.00772
250000.0 2.7735591202 11.02791
267000.0 2.9680908868 10.99723
283000.0 3.1500172136 11.11639
300000.0 3.3572514844 11.16573
317000.0 3.540942767 11.26058
333000.0 3.7045044952 11.19734
350000.0 3.9181029601 11.20727
367000.0 4.1362197762 11.17315
383000.0 4.3435219921 11.30897
400000.0 4.5293454576 11.24174
600000.0 7.3147852695 11.69971
857000.0 11.3219044414 12.14287
1110000.0 16.0638809546 12.55357
1370000.0 21.7437688366 12.95384
1630000.0 28.774448007 13.4041
1880000.0 37.4802060219 14.00961
2140000.0 50.9311727971 15.12891
2400000.0 71.1756627298 17.43784
2650000.0 84.8999129152 19.63654
2910000.0 92.7877393406 21.3473
3170000.0 97.56481275 22.46367
3420000.0 100.835676852 23.31472
3680000.0 103.386390499 23.80032
3930000.0 105.623170133 24.59929
4190000.0 107.449908983 25.16206
4450000.0 108.987814695 25.35959
4700000.0 110.258513232 25.92142
4960000.0 111.577811952 26.0341
5220000.0 112.626876704 26.20164
5470000.0 113.504426911 26.73771
5730000.0 114.510187965 26.69901
5990000.0 115.286365653 27.06664
6240000.0 115.976458477 27.17625
6500000.0 116.639818126 27.4241
