pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1696509481 11.61942
33300.0 0.3385439553 11.59866
50000.0 0.508894884 11.64437
66700.0 0.6736147579 11.54772
83300.0 0.8468414035 11.48414
100000.0 1.0200546738 11.4925
117000.0 1.1935800373 11.50333
133000.0 1.351570585 11.40656
150000.0 1.525605701 11.46521
167000.0 1.717080888 11.39422
183000.0 1.8682024107 11.40746
200000.0 2.0603968985 11.39256
217000.0 2.2218442511 11.35144
233000.0 2.3737995088 11.32749
250000.0 2.5300155832 11.27825
267000.0 2.7124683014 11.34048
283000.0 2.8609533788 11.2291
300000.0 3.0144557276 11.21776
317000.0 3.1897704261 11.2889
333000.0 3.3357379508 11.20658
350000.0 3.5234264057 11.28678
367000.0 3.6907203063 11.11042
383000.0 3.847183083 11.1976
400000.0 4.033691528 11.25118
600000.0 6.2363955426 11.08446
857000.0 9.299371376 11.12416
1110000.0 12.6650658255 11.14629
1370000.0 16.660818697 11.39139
1630000.0 21.4444228789 11.75743
1880000.0 27.3682450876 12.30099
2140000.0 36.2413534835 13.33386
2400000.0 51.1397114398 15.15233
2650000.0 68.5161006379 17.56403
2910000.0 79.0863575627 19.59725
3170000.0 85.0466382141 20.98181
3420000.0 89.0569093688 22.00141
3680000.0 92.043426801 22.6071
3930000.0 94.4979678201 23.38291
4190000.0 96.584663781 23.76472
4450000.0 98.1658250625 24.17044
4700000.0 99.6161553446 24.64641
4960000.0 100.943189451 24.87508
5220000.0 102.051044889 25.16602
5470000.0 103.182927052 25.54197
5730000.0 104.094255849 25.92549
5990000.0 104.891707744 25.86256
6240000.0 105.654078865 25.93499
6500000.0 106.366847958 26.2635
