pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0651680543 5.60199
33300.0 0.1343190137 5.67523
50000.0 0.2022661846 5.6498
66700.0 0.2641498284 5.62472
83300.0 0.3375809245 5.64928
100000.0 0.3946791377 5.62439
117000.0 0.4722417546 5.68416
133000.0 0.5321785307 5.62639
150000.0 0.5986989894 5.64842
167000.0 0.6635549504 5.7005
183000.0 0.7318142146 5.68191
200000.0 0.7966404524 5.61678
217000.0 0.8529658631 5.62489
233000.0 0.9188472736 5.6277
250000.0 0.9871362609 5.6247
267000.0 1.0572532234 5.64481
283000.0 1.1073962143 5.63971
300000.0 1.1674816062 5.68072
317000.0 1.2418341207 5.61757
333000.0 1.3243902305 5.70321
350000.0 1.3764057813 5.72311
367000.0 1.4442489211 5.65565
383000.0 1.521276521 5.655
400000.0 1.5831007185 5.63631
600000.0 2.3251991505 5.69729
857000.0 3.2543009184 5.68828
1110000.0 4.1956634946 5.67139
1370000.0 5.1504758061 5.69664
1630000.0 6.1485501943 5.68906
1880000.0 6.9880663221 5.7308
2140000.0 8.0490052188 5.70397
2400000.0 8.9895949926 5.6975
2650000.0 9.8372404079 5.81396
2910000.0 10.6721940289 5.79352
3170000.0 11.6277791429 5.83095
3420000.0 12.6075737804 5.95343
3680000.0 13.360669786 5.87306
3930000.0 14.3001300792 5.87998
4190000.0 15.0535976245 5.92377
4450000.0 15.9743917658 5.94699
4700000.0 16.7118236599 5.95944
4960000.0 17.6314288743 5.98597
5220000.0 18.4107109944 6.07908
5470000.0 19.2368962796 6.14987
5730000.0 20.028260869 6.10237
5990000.0 20.8527816567 6.13404
6240000.0 21.5188927998 6.154
6500000.0 22.3169599645 6.11509
6750000.0 23.0604553856 6.20649
7000000.0 23.6678335412 6.13155
7250000.0 24.451752476 6.27425
7500000.0 25.1746051543 6.3127
7750000.0 25.8010953093 6.20353
8000000.0 26.4474999895 6.31265
8500000.0 27.8896682886 6.39359
9000000.0 29.206167017 6.3854
9500000.0 30.501502847 6.36722
10000000.0 31.6554306869 6.45229
10500000.0 32.8655353216 6.50889
11000000.0 33.9817890411 6.61517
12000000.0 36.1890912304 6.65648
13000000.0 38.3850243065 6.68619
14000000.0 40.2589365385 6.76839
15000000.0 42.2956871676 6.86121
