pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1761961048 9.60695
33300.0 0.3517757961 9.5878
50000.0 0.5268921957 9.64846
66700.0 0.7078547081 9.5475
83300.0 0.8831831225 9.56599
100000.0 1.0526457933 9.54979
117000.0 1.2432432019 9.59373
133000.0 1.423416548 9.6203
150000.0 1.6108023245 9.69328
167000.0 1.7885728358 9.61935
183000.0 1.9653775016 9.48913
200000.0 2.1464538738 9.5631
217000.0 2.3366665148 9.53947
233000.0 2.5089010832 9.54561
250000.0 2.7043866116 9.55545
267000.0 2.88585953 9.48955
283000.0 3.062098823 9.53186
300000.0 3.2602934298 9.61665
317000.0 3.4344675413 9.65676
333000.0 3.6387438329 9.61304
350000.0 3.8026862656 9.47642
367000.0 4.0154078147 9.57977
383000.0 4.1847566256 9.46412
400000.0 4.3706661507 9.51213
600000.0 6.6697118112 9.51843
857000.0 9.6585241737 9.68236
1110000.0 13.0164975485 9.73002
1370000.0 17.0237742017 9.89676
1630000.0 21.3579698749 10.11845
1880000.0 26.3010878533 10.32787
2140000.0 31.9896892463 10.7289
2400000.0 39.0220367246 11.08728
2650000.0 47.1721146236 11.57542
2910000.0 60.2570183654 12.48561
3170000.0 81.2443980908 13.88862
3420000.0 112.48390426 15.66442
3680000.0 139.657762952 18.20965
3930000.0 151.356325258 20.20034
4190000.0 157.76566715 21.48637
4450000.0 162.343644545 22.35661
4700000.0 166.302530776 23.07496
4960000.0 169.148072152 23.56918
5220000.0 171.702846963 23.96001
5470000.0 173.925512317 24.25478
5730000.0 176.010744944 24.69539
5990000.0 177.713758016 24.94311
6240000.0 179.280049005 25.21615
6500000.0 180.844800922 25.28391
