pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0869653435 4.73227
33300.0 0.1749514992 4.75826
50000.0 0.2616420087 4.72992
66700.0 0.3546929632 4.70029
83300.0 0.4410693766 4.72743
100000.0 0.5284273402 4.76302
117000.0 0.6195544564 4.69894
133000.0 0.7119772187 4.7375
150000.0 0.7937992394 4.70672
167000.0 0.880843107 4.6518
183000.0 0.9760927338 4.7551
200000.0 1.0659634658 4.66414
217000.0 1.1400116093 4.7103
233000.0 1.2400119388 4.74056
250000.0 1.3058935851 4.75987
267000.0 1.4257604897 4.72668
283000.0 1.5268601555 4.77843
300000.0 1.5658865895 4.69447
317000.0 1.6664758492 4.75721
333000.0 1.7335746176 4.71134
350000.0 1.8412310383 4.76145
367000.0 1.941820298 4.73031
383000.0 2.0035009096 4.68763
400000.0 2.1017737109 4.8049
600000.0 3.1455934052 4.74683
857000.0 4.4674666268 4.75092
1110000.0 5.8284448064 4.79144
1370000.0 7.028409499 4.6687
1630000.0 8.3042676495 4.72444
1880000.0 9.4631250217 4.77565
2140000.0 10.6208045337 4.80009
2400000.0 11.9572832216 4.9079
2650000.0 13.2737382863 4.89822
2910000.0 14.5268244732 4.89021
3170000.0 15.7751599573 4.87874
3420000.0 16.9231417538 4.89591
3680000.0 18.1407350872 4.96634
3930000.0 19.4407786334 4.96984
4190000.0 20.5989292895 4.97546
4450000.0 21.6946140939 5.04361
4700000.0 23.0432640036 5.05074
4960000.0 24.351356261 5.07537
5220000.0 25.3838292356 5.04356
5470000.0 26.5130045312 5.05681
5730000.0 27.5483828942 5.11531
5990000.0 28.7651124634 5.10936
6240000.0 29.9858860193 5.07135
6500000.0 30.9964115325 5.21158
6750000.0 32.0684213472 5.18756
7000000.0 33.3135373468 5.1717
7250000.0 34.4882173075 5.20068
7500000.0 35.2291306247 5.19172
7750000.0 36.5353383058 5.3268
8000000.0 37.1918383099 5.29193
8500000.0 39.5110450106 5.36495
9000000.0 41.4189036733 5.28646
9500000.0 43.3030088223 5.2919
10000000.0 45.3803615654 5.46854
10500000.0 47.2468380737 5.46727
11000000.0 48.9521833089 5.5287
12000000.0 52.5385319946 5.5188
13000000.0 55.9587631325 5.6537
14000000.0 59.5166076018 5.74335
15000000.0 62.7018556332 5.85055
