pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1720481598 11.70788
33300.0 0.3475618792 11.80492
50000.0 0.5220617884 11.79282
66700.0 0.7046437986 11.85499
83300.0 0.8754053813 11.7601
100000.0 1.0669839715 11.86042
117000.0 1.2378716892 11.87662
133000.0 1.4153531148 11.82544
150000.0 1.6073637174 11.84751
167000.0 1.7827434183 11.90902
183000.0 1.9637960415 11.92445
200000.0 2.1685399738 12.01723
217000.0 2.3380181327 11.9376
233000.0 2.502148167 11.95208
250000.0 2.6844621403 11.93422
267000.0 2.8641840391 11.86072
283000.0 3.0290204295 11.87187
300000.0 3.2262545984 11.88876
317000.0 3.3844405201 11.95323
333000.0 3.5492974074 11.93507
350000.0 3.7421231575 12.03721
367000.0 3.9183984171 11.97773
383000.0 4.1659919905 11.97155
400000.0 4.3390255801 12.08479
600000.0 6.836736948 12.20755
857000.0 10.4287547082 12.4939
1110000.0 14.4089277486 12.68002
1370000.0 19.0808173254 13.01262
1630000.0 24.56333407 13.37804
1880000.0 30.9902157852 13.86645
2140000.0 39.1196348163 14.59764
2400000.0 48.7900216697 15.14301
2650000.0 59.5805489431 15.86125
2910000.0 71.2235155651 16.55252
3170000.0 83.5234910975 18.22895
3420000.0 90.6838967996 20.18219
3680000.0 95.231992743 21.68177
3930000.0 98.2743156865 22.79161
4190000.0 100.595603586 23.4751
4450000.0 102.495045543 24.27331
4700000.0 104.066411904 24.76967
4960000.0 105.450026296 25.07447
5220000.0 106.688984323 25.4727
5470000.0 107.72987096 25.66548
5730000.0 108.701596192 25.81146
5990000.0 109.597705059 26.34665
6240000.0 110.349245856 26.34032
6500000.0 111.204297776 26.50103
