pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0601033344 5.16483
33300.0 0.1207900433 5.29669
50000.0 0.182265096 5.21521
66700.0 0.2417062216 5.36485
83300.0 0.3008477766 5.30363
100000.0 0.3623070624 5.30343
117000.0 0.4258002754 5.25982
133000.0 0.4908071085 5.27389
150000.0 0.5366414194 5.23187
167000.0 0.6049277629 5.30753
183000.0 0.6638643484 5.24811
200000.0 0.7232424065 5.25122
217000.0 0.7802238994 5.22922
233000.0 0.8446158243 5.2008
250000.0 0.9024171947 5.28714
267000.0 0.9707666057 5.23497
283000.0 1.0367194514 5.28885
300000.0 1.0857071377 5.30158
317000.0 1.1502094308 5.24621
333000.0 1.2066863835 5.26606
350000.0 1.2757926046 5.16919
367000.0 1.3188204115 5.29391
383000.0 1.3586475423 5.33081
400000.0 1.4328149309 5.24866
600000.0 2.1376889259 5.27955
857000.0 3.047611154 5.4211
1110000.0 3.8856206568 5.40954
1370000.0 4.7239454973 5.32241
1630000.0 5.645298711 5.3463
1880000.0 6.4560788176 5.39709
2140000.0 7.3123148301 5.42473
2400000.0 8.2502074977 5.44456
2650000.0 9.0720401849 5.4699
2910000.0 9.9287019031 5.49875
3170000.0 10.6890910714 5.56937
3420000.0 11.5591546349 5.52965
3680000.0 12.3866791647 5.65705
3930000.0 13.1763631901 5.59606
4190000.0 13.9970291285 5.57309
4450000.0 14.8412823146 5.59365
4700000.0 15.6159720402 5.64999
4960000.0 16.3525059239 5.61755
5220000.0 17.1136046017 5.65934
5470000.0 17.8730477574 5.60429
5730000.0 18.6309457592 5.66149
5990000.0 19.3505460172 5.74525
6240000.0 20.1176834087 5.66388
6500000.0 20.8111894856 5.74547
6750000.0 21.4834733462 5.74788
7000000.0 22.1333051743 5.75765
7250000.0 22.8680258672 5.84261
7500000.0 23.6644738828 5.8772
7750000.0 24.2786095017 5.83292
8000000.0 24.9605269241 5.88679
8500000.0 26.2505254847 5.95762
9000000.0 27.5286988878 5.884
9500000.0 28.5954542395 5.88124
10000000.0 29.828644743 6.04287
10500000.0 31.1466925775 6.07087
11000000.0 32.2507996604 6.17145
12000000.0 34.3399581395 6.17823
13000000.0 36.613116071 6.26328
14000000.0 38.654027907 6.36468
15000000.0 40.642972117 6.3892
