pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1722378018 12.16267
33300.0 0.3454746345 12.19206
50000.0 0.5186951786 12.20114
66700.0 0.7006273802 12.30694
83300.0 0.8735167239 12.24828
100000.0 1.0497913704 12.24158
117000.0 1.2357549871 12.15189
133000.0 1.3982305203 12.2209
150000.0 1.5931066865 12.31178
167000.0 1.7844075169 12.33403
183000.0 1.977817714 12.40491
200000.0 2.1815847117 12.39049
217000.0 2.3434032735 12.41755
233000.0 2.5193114277 12.40697
250000.0 2.7482116521 12.5533
267000.0 2.9256916511 12.3692
283000.0 3.1271972556 12.37268
300000.0 3.3433951287 12.5028
317000.0 3.5088134593 12.47273
333000.0 3.7402764149 12.49264
350000.0 3.9299863973 12.49968
367000.0 4.0966996672 12.50389
383000.0 4.2983627277 12.4405
400000.0 4.5225935689 12.58565
600000.0 6.9615074475 12.82085
857000.0 11.0058883044 13.34778
1110000.0 15.7599231109 13.77009
1370000.0 22.1419329517 14.41682
1630000.0 30.8528302566 15.29206
1880000.0 43.4995561173 17.17423
2140000.0 55.2584204745 19.34997
2400000.0 62.3157778719 21.27009
2650000.0 66.2482509872 22.47058
2910000.0 69.2728005396 23.5886
3170000.0 71.3025787159 24.11645
3420000.0 73.0676354399 24.74318
3680000.0 74.6300137841 25.50173
3930000.0 75.694163508 25.69635
4190000.0 76.7542410952 26.19241
4450000.0 77.6631609742 26.40206
4700000.0 78.4274765698 26.68416
4960000.0 79.1817991424 26.55742
5220000.0 80.0076447212 27.41854
5470000.0 80.4883441512 27.221
5730000.0 81.0981438832 27.42912
5990000.0 81.5501999048 27.88476
6240000.0 81.9949260805 27.7135
6500000.0 82.541879172 27.85102
