pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0542137111 5.80307
33300.0 0.1089703738 5.82428
50000.0 0.1615823779 5.86524
66700.0 0.214384415 5.82665
83300.0 0.2701726856 5.79305
100000.0 0.320585736 5.77472
117000.0 0.3753695462 5.83364
133000.0 0.4258911869 5.79858
150000.0 0.47638568 5.80319
167000.0 0.5408611752 5.84975
183000.0 0.5906498313 5.80129
200000.0 0.6434518684 5.79673
217000.0 0.7017377161 5.85142
233000.0 0.7527208656 5.79919
250000.0 0.8125541251 5.86815
267000.0 0.8610396975 5.86497
283000.0 0.9006208647 5.85132
300000.0 0.972914862 5.86146
317000.0 1.0139077032 5.89513
333000.0 1.0739309958 5.84002
350000.0 1.1343886496 5.82819
367000.0 1.184285896 5.88945
383000.0 1.223432702 5.82683
400000.0 1.2941521399 5.86588
600000.0 1.9230257595 5.89847
857000.0 2.7386204132 5.92676
1110000.0 3.4832784484 5.95345
1370000.0 4.344698212 6.01734
1630000.0 5.0488249148 6.03615
1880000.0 5.6451485897 5.94362
2140000.0 6.4509972633 6.08185
2400000.0 7.1264289773 6.09482
2650000.0 7.8332161427 6.13299
2910000.0 8.6009767659 6.17741
3170000.0 9.3886094154 6.14559
3420000.0 10.1299554462 6.18796
3680000.0 10.8001748255 6.28351
3930000.0 11.4522867709 6.27047
4190000.0 12.2212147399 6.22495
4450000.0 12.8333654521 6.32918
4700000.0 13.4436429815 6.30825
4960000.0 14.2662417101 6.36863
5220000.0 14.8926720478 6.39189
5470000.0 15.4276964939 6.51514
5730000.0 16.0717727566 6.47428
5990000.0 16.7048542506 6.50453
6240000.0 17.2428649302 6.53707
6500000.0 17.8783897062 6.52526
6750000.0 18.5577849664 6.6232
7000000.0 19.1398290158 6.67172
7250000.0 19.6647817109 6.65779
7500000.0 20.1904402431 6.60082
7750000.0 20.7648286758 6.67804
8000000.0 21.3517321414 6.6767
8500000.0 22.3114804286 6.84964
9000000.0 23.3322836164 6.75679
9500000.0 24.2682777738 6.85863
10000000.0 25.3014059615 6.99139
10500000.0 26.2913695018 6.95512
11000000.0 27.0156940019 6.9594
12000000.0 28.8208992775 7.05902
13000000.0 30.5470779566 7.2174
14000000.0 31.9437664946 7.22112
15000000.0 33.4527645583 7.32075
