pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1587090327 10.11839
33300.0 0.3179834504 10.19879
50000.0 0.4782162039 10.20221
66700.0 0.6396559962 10.21613
83300.0 0.7980831655 10.22133
100000.0 0.970324961 10.26623
117000.0 1.1374633696 10.31031
133000.0 1.2993740398 10.27741
150000.0 1.4758968441 10.42428
167000.0 1.6384392201 10.38175
183000.0 1.8065906792 10.43721
200000.0 1.9843802112 10.44512
217000.0 2.1682961286 10.4429
233000.0 2.3239610358 10.48309
250000.0 2.499419391 10.50906
267000.0 2.6807487966 10.51577
283000.0 2.8280589388 10.55614
300000.0 3.0121903989 10.63968
317000.0 3.1585007547 10.62526
333000.0 3.3351396205 10.6602
350000.0 3.5066701253 10.65221
367000.0 3.6789832157 10.73207
383000.0 3.8380536969 10.72102
400000.0 4.006123913 10.70099
600000.0 6.4306488626 11.15788
857000.0 9.9042812726 11.62004
1110000.0 13.725025236 11.7963
1370000.0 18.4894912225 12.29549
1630000.0 23.9388025523 12.72523
1880000.0 30.3347291509 13.35008
2140000.0 38.6596315495 14.07412
2400000.0 49.3017219704 14.94473
2650000.0 61.083792636 15.79179
2910000.0 74.2612964137 16.87629
3170000.0 86.0756437633 18.54854
3420000.0 93.2098006473 20.33384
3680000.0 97.6310282161 21.87666
3930000.0 100.615378794 22.89616
4190000.0 102.802650966 23.56179
4450000.0 104.828947592 24.21879
4700000.0 106.423971547 24.5421
4960000.0 107.921508874 24.93234
5220000.0 109.09630589 25.24872
5470000.0 110.115280487 25.36883
5730000.0 111.254383639 25.62102
5990000.0 112.117064939 26.06323
6240000.0 112.942777357 26.27367
6500000.0 113.750241602 26.21041
