pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0657405105 5.44628
33300.0 0.1349297035 5.48038
50000.0 0.2004049308 5.54516
66700.0 0.2688645948 5.47932
83300.0 0.3392309823 5.48925
100000.0 0.4043580253 5.46046
117000.0 0.4750394367 5.46712
133000.0 0.5351758381 5.44871
150000.0 0.6020272223 5.4391
167000.0 0.6717801423 5.53545
183000.0 0.7500387071 5.5185
200000.0 0.7962974774 5.4641
217000.0 0.8667633462 5.50858
233000.0 0.9360022798 5.45378
250000.0 0.9908993367 5.45242
267000.0 1.0757236625 5.48388
283000.0 1.1509314697 5.5128
300000.0 1.2288584304 5.46078
317000.0 1.27667574 5.4713
333000.0 1.3502586872 5.53544
350000.0 1.415700754 5.48851
367000.0 1.4725708551 5.47591
383000.0 1.5277829358 5.50556
400000.0 1.5990612346 5.45433
600000.0 2.3847971218 5.57248
857000.0 3.3502126843 5.56511
1110000.0 4.2956491005 5.57439
1370000.0 5.236326998 5.67658
1630000.0 6.311287971 5.64641
1880000.0 7.1759622115 5.63007
2140000.0 8.1214981089 5.66188
2400000.0 9.1401195473 5.68116
2650000.0 10.0233636167 5.72455
2910000.0 10.9862092475 5.73218
3170000.0 11.9236042645 5.77526
3420000.0 12.721443701 5.71032
3680000.0 13.6301383842 5.75947
3930000.0 14.5748784318 5.75149
4190000.0 15.4216792118 5.77708
4450000.0 16.3170268305 5.82913
4700000.0 17.1222112975 5.92198
4960000.0 17.9710017021 5.89831
5220000.0 18.815431513 5.91535
5470000.0 19.6825927841 5.8667
5730000.0 20.3801219838 5.9337
5990000.0 21.0301820583 6.03819
6240000.0 21.9794319215 6.00517
6500000.0 22.7107847383 5.94777
6750000.0 23.5366944608 5.94377
7000000.0 24.2186382684 6.01723
7250000.0 25.0183181075 6.08274
7500000.0 25.7497869857 6.11133
7750000.0 26.4139568142 6.20111
8000000.0 27.1164434951 6.11698
8500000.0 28.4716265029 6.10582
9000000.0 29.8692382539 6.18541
9500000.0 31.2067965045 6.28097
10000000.0 32.474436033 6.23677
10500000.0 33.6910582726 6.2758
11000000.0 34.8724807382 6.25898
12000000.0 37.1513137736 6.39364
13000000.0 39.3984122978 6.53157
14000000.0 41.5153562173 6.52696
15000000.0 43.4883342219 6.58919
