pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.112020847 9.44037
33300.0 0.2253505934 9.40878
50000.0 0.3354950022 9.4678
66700.0 0.4517964739 9.4686
83300.0 0.5665461144 9.47431
100000.0 0.6778256008 9.54868
117000.0 0.8018673799 9.54115
133000.0 0.90990289 9.53768
150000.0 1.0317980742 9.59421
167000.0 1.1553204821 9.58566
183000.0 1.2700784995 9.6187
200000.0 1.3873621693 9.59135
217000.0 1.5162206983 9.69698
233000.0 1.6344383986 9.68411
250000.0 1.7711356644 9.66847
267000.0 1.8908235206 9.73145
283000.0 2.0130935735 9.76884
300000.0 2.1338620571 9.72525
317000.0 2.2753425649 9.7506
333000.0 2.4027937652 9.7668
350000.0 2.5178303165 9.8049
367000.0 2.6331537785 9.87005
383000.0 2.7781128173 9.87945
400000.0 2.90712632 9.86064
600000.0 4.4587208101 10.1422
857000.0 6.7734392577 10.48613
1110000.0 9.4691249201 10.9329
1370000.0 12.7277985846 11.31514
1630000.0 16.6743753283 11.75343
1880000.0 21.451020475 12.27398
2140000.0 28.3674145848 13.1486
2400000.0 39.9773125508 14.81015
2650000.0 54.4788038657 17.11302
2910000.0 64.4007556252 19.25639
3170000.0 70.0425141713 20.80054
3420000.0 73.4280987226 21.82629
3680000.0 76.2575455276 22.7888
3930000.0 77.9447063944 23.3498
4190000.0 79.7723236861 23.86501
4450000.0 81.2357821256 24.26372
4700000.0 82.3384387782 24.59237
4960000.0 83.4762744584 25.05477
5220000.0 84.4750903617 25.38705
5470000.0 85.3239147697 25.50239
5730000.0 86.0570806374 25.78942
5990000.0 86.8316014438 25.71135
6240000.0 87.4954605643 26.14815
6500000.0 88.0825344099 26.20074
